end_date,lnp,alp,grn,pollster
18/05/2019,39%,38%,10%,YouGov-Galaxy 
16/05/2019,38%,37%,9%,Newspoll
15/05/2019,39%,37%,9%,YouGov-Galaxy 
15/05/2019,39%,33%,13%,Ipsos 
14/05/2019,38.5%,36.2%,9.1%,Essential 
12/05/2019,38.5%,35.5%,10%,Roy Morgan 
11/05/2019,39%,37%,9%,Newspoll  
06/05/2019,38%,34%,12%,Essential 
05/05/2019,38.5%,34%,11%,Roy Morgan 
05/05/2019,38%,36%,9%,Newspoll  
04/05/2019,36%,33%,14%,Ipsos
29/04/2019,39%,37%,9%,Essential  
28/04/2019,39.5%,36%,9.5%,Roy Morgan 
28/04/2019,38%,37%,9%,Newspoll
25/04/2019,37%,37%,9%,Galaxy 
21/04/2019,39%,35.5%,9.5%,Roy Morgan 
14/04/2019,39%,39%,9%,Newspoll  
08/04/2019,38%,35%,11%,Essential 
07/04/2019,37%,35%,13.5%,Roy Morgan  
07/04/2019,38%,37%,9%,Newspoll 
06/04/2019,37%,34%,13%,Ipsos  
28/03/2019,35%,37%,10%,Galaxy  
25/03/2019,39%,36%,10%,Essential  
11/03/2019,37%,38%,8%,Essential  
10/03/2019,36%,39%,9%,Newspoll  
25/02/2019,38%,37%,9%,Essential  
24/02/2019,37%,39%,9%,Newspoll  
15/02/2019,38%,33%,13%,Ipsos  
11/02/2019,34%,38%,10%,Essential  
10/02/2019,37%,39%,9%,Newspoll  
31/01/2019,38%,36%,10%,Essential  
27/01/2019,37%,38%,9%,Newspoll  
13/01/2019,38%,38%,10%,Essential  
16/12/2018,37%,36%,11%,Essential  
15/12/2018,36%,37%,13%,Ipsos  
09/12/2018,35%,41%,9%,Newspoll  
02/12/2018,38%,39%,10%,Essential  
25/11/2018,34%,40%,9%,Newspoll  
18/11/2018,37%,35%,11%,Essential  
17/11/2018,37%,34%,13%,Ipsos  
11/11/2018,35%,40%,9%,Newspoll  
04/11/2018,36%,39%,10%,Essential  
28/10/2018,36%,39%,9%,Newspoll  
21/10/2018,38%,37%,10%,Essential  
13/10/2018,37%,38%,11%,Newspoll  
13/10/2018,35%,35%,15%,Ipsos  
07/10/2018,37%,36%,12%,Essential  
23/09/2018,37%,36%,12%,Essential  
23/09/2018,36%,39%,10%,Newspoll  
15/09/2018,34%,31%,15%,Ipsos  
09/09/2018,36%,37%,10%,Essential  
09/09/2018,34%,42%,10%,Newspoll  
26/08/2018,36.5%,36%,13%,Roy Morgan 
26/08/2018,35%,39%,10%,Essential  
25/08/2018,33%,41%,10%,Newspoll  
18/08/2018,33%,35%,13%,Ipsos
12/08/2018,37%,35%,10%,Newspoll
02/08/2018,37%,34%,12%,ReachTEL  
29/07/2018,39%,36%,10%,Newspoll  
15/07/2018,40%,36%,10%,Essential  
15/07/2018,38%,36%,10%,Newspoll  
01/07/2018,40%,37%,11%,Essential  
01/07/2018,39%,37%,9%,Newspoll  
24/06/2018,35%,35%,12%,Ipsos  
17/06/2018,38%,38%,10%,Newspoll  
17/06/2018,38%,35%,11%,Essential  
03/06/2018,36%,37%,10%,Essential  
02/06/2018,35%,34%,11%,ReachTEL  
27/05/2018,38%,38%,9%,Newspoll  
20/05/2018,40%,36%,10%,Essential  
