,end_date,value,variable,smooth,noise,ci_top,ci_bot
69,2018-05-20,36.0,alp,36.27489300436535,-0.274893004365353,40.19144038430042,31.729797526883797
68,2018-05-27,38.0,alp,36.19112854975391,1.8088714502460874,40.10767592968898,31.646033072272356
67,2018-06-02,34.0,alp,36.17807504104866,-2.1780750410486576,40.094622420983725,31.6329795635671
66,2018-06-03,37.0,alp,36.17559787486712,0.8244021251328775,40.09214525480219,31.630502397385566
65,2018-06-17,35.0,alp,36.191360250138025,-1.1913602501380254,40.10790763007309,31.64626477265647
64,2018-06-17,38.0,alp,36.23949986941319,1.7605001305868129,40.156047249348255,31.69440439193163
63,2018-06-24,35.0,alp,36.29909052837726,-1.2990905283772634,40.21563790831233,31.753995050895707
62,2018-07-01,37.0,alp,36.32576500522634,0.6742349947736628,40.242312385161405,31.78066952774478
61,2018-07-01,37.0,alp,36.26420179076498,0.7357982092350213,40.18074917070005,31.719106313283422
60,2018-07-15,36.0,alp,36.151344041540945,-0.15134404154094483,40.06789142147601,31.60624856405939
59,2018-07-15,36.0,alp,36.00182330545989,-0.001823305459886626,39.918370685394954,31.45672782797833
58,2018-07-29,36.0,alp,35.888641465840685,0.11135853415931507,39.80518884577575,31.34354598835913
57,2018-08-02,34.0,alp,35.86978633966104,-1.8697863396610401,39.78633371959611,31.324690862179484
56,2018-08-12,35.0,alp,36.09995656873435,-1.099956568734349,40.01650394866942,31.554861091252793
55,2018-08-18,35.0,alp,36.51335417422491,-1.513354174224908,40.429901554159976,31.96825869674335
54,2018-08-25,41.0,alp,36.8744283453279,4.1255716546721,40.79097572526297,32.32933286784635
53,2018-08-26,39.0,alp,37.30900626360046,1.690993736399541,41.22555364353553,32.763910786118906
52,2018-08-26,36.0,alp,37.50804134021401,-1.5080413402140067,41.424588720149075,32.962945862732454
50,2018-09-09,37.0,alp,37.48459884045461,-0.4845988404546091,41.40114622038968,32.939503362973056
51,2018-09-09,42.0,alp,37.28367088634497,4.7163291136550285,41.20021826628004,32.73857540886342
49,2018-09-15,31.0,alp,37.01081915281893,-6.010819152818932,40.927366532754,32.46572367533738
48,2018-09-23,39.0,alp,36.76185293954128,2.238147060458722,40.678400319476346,32.216757462059725
47,2018-09-23,36.0,alp,36.572258372175654,-0.5722583721756536,40.48880575211072,32.0271628946941
46,2018-10-07,36.0,alp,36.525005740222106,-0.525005740222106,40.441553120157174,31.97991026274055
45,2018-10-13,35.0,alp,36.69806587970605,-1.69806587970605,40.61461325964112,32.1529704022245
44,2018-10-13,38.0,alp,36.979971490284335,1.0200285097156652,40.8965188702194,32.43487601280278
43,2018-10-21,37.0,alp,37.24777847285864,-0.2477784728586414,41.16432585279371,32.70268299537709
42,2018-10-28,39.0,alp,37.60418599226014,1.3958140077398582,41.52073337219521,33.05909051477859
41,2018-11-04,39.0,alp,37.70243448617982,1.2975655138201816,41.618981866114886,33.157339008698266
40,2018-11-11,40.0,alp,37.74589777849893,2.2541022215010713,41.662445158434,33.200802301017376
39,2018-11-17,34.0,alp,37.71931215789951,-3.719312157899509,41.63585953783458,33.174216680417956
38,2018-11-18,35.0,alp,37.77340459350718,-2.7734045935071805,41.68995197344225,33.22830911602563
37,2018-11-25,40.0,alp,37.881931257877696,2.118068742122304,41.798478637812764,33.33683578039614
36,2018-12-02,39.0,alp,38.024883646255326,0.9751163537446743,41.94143102619039,33.47978816877377
35,2018-12-09,41.0,alp,38.09464937786639,2.9053506221336107,42.01119675780146,33.549553900384836
34,2018-12-15,37.0,alp,38.100923541175845,-1.1009235411758453,42.01747092111091,33.55582806369429
33,2018-12-16,36.0,alp,37.926748436057615,-1.9267484360576148,41.84329581599268,33.38165295857606
32,2019-01-13,38.0,alp,37.69524257310616,0.30475742689384333,41.611789953041225,33.150147095624604
31,2019-01-27,38.0,alp,37.55310465647964,0.4468953435203602,41.46965203641471,33.00800917899809
30,2019-01-31,36.0,alp,37.36648034653719,-1.3664803465371875,41.283027726472255,32.821384869055635
29,2019-02-10,39.0,alp,37.27846399672662,1.7215360032733784,41.19501137666169,32.73336851924507
28,2019-02-11,38.0,alp,37.188745442067734,0.8112545579322656,41.1052928220028,32.64364996458618
27,2019-02-15,33.0,alp,37.16746721812596,-4.167467218125957,41.084014598061025,32.622371740644404
26,2019-02-24,39.0,alp,37.229295964171484,1.7707040358285155,41.14584334410655,32.68420048668993
25,2019-02-25,37.0,alp,37.25366728086853,-0.25366728086852675,41.170214660803595,32.708571803386974
24,2019-03-10,39.0,alp,37.26162839529282,1.7383716047071829,41.178175775227885,32.716532917811264
23,2019-03-11,38.0,alp,37.17017503886184,0.8298249611381578,41.08672241879691,32.62507956138029
22,2019-03-25,36.0,alp,36.92786633506061,-0.9278663350606067,40.844413714995675,32.382770857579054
21,2019-03-28,37.0,alp,36.61615827576093,0.38384172423906904,40.532705655696,32.07106279827938
20,2019-04-06,34.0,alp,36.32811390082836,-2.328113900828363,40.24466128076343,31.783018423346807
19,2019-04-07,37.0,alp,36.1163243046298,0.8836756953702007,40.03287168456487,31.571228827148243
18,2019-04-07,35.0,alp,36.08351612412986,-1.0835161241298579,40.000063504064926,31.5384206466483
17,2019-04-08,35.0,alp,36.1494002846604,-1.149400284660402,40.06594766459547,31.604304807178845
16,2019-04-14,39.0,alp,36.29832617298887,2.7016738270111276,40.21487355292394,31.753230695507316
15,2019-04-21,35.5,alp,36.41350542172394,-0.91350542172394,40.33005280165901,31.868409944242384
14,2019-04-25,37.0,alp,36.46247766760625,0.537522332393749,40.37902504754132,31.917382190124695
13,2019-04-28,37.0,alp,36.38792609939644,0.612073900603562,40.304473479331506,31.84283062191488
12,2019-04-28,36.0,alp,36.148234038344974,-0.14823403834497384,40.06478141828004,31.603138560863417
11,2019-04-29,37.0,alp,35.86463627210773,1.135363727892269,39.7811836520428,31.319540794626175
10,2019-05-04,33.0,alp,35.56136282925226,-2.5613628292522606,39.47791020918733,31.016267351770704
9,2019-05-05,36.0,alp,35.294695013799476,0.7053049862005238,39.211242393734544,30.74959953631792
8,2019-05-05,34.0,alp,35.15136045353481,-1.1513604535348065,39.067907833469874,30.60626497605325
7,2019-05-06,34.0,alp,35.155525376191726,-1.1555253761917257,39.07207275612679,30.61042989871017
6,2019-05-11,37.0,alp,35.22412434201029,1.7758756579897081,39.14067172194536,30.679028864528735
5,2019-05-12,35.5,alp,35.37408586585048,0.12591413414951802,39.29063324578555,30.828990388368926
4,2019-05-14,36.2,alp,35.51764156979495,0.6823584302050563,39.434188949730014,30.97254609231339
3,2019-05-15,33.0,alp,35.754219487664365,-2.754219487664365,39.67076686759943,31.20912401018281
2,2019-05-15,37.0,alp,35.97017491470488,1.0298250852951227,39.886722294639945,31.42507943722332
1,2019-05-16,37.0,alp,36.21958341204357,0.7804165879564309,40.13613079197864,31.674487934562013
0,2019-05-18,38.0,alp,36.51165728797062,1.4883427120293788,40.42820466790569,31.966561810489065
