end_date,brand,Firm,interview_mode,sample_size,ppm_sm,ppm_aa,ppm_dk,sm_sat,sm_dissat,sm_dk,aa_sat,aa_dissat,aa_dk
23/10/2020,Newspoll,YouGov ,Online ,,48.00%,34.00%,18.00%,46.00%,50.00%,4.00%,37.00%,46.00%,17.00%
02/10/2021,Newspoll,YouGov ,Online ,1545,47.00%,34.00%,19.00%,48.00%,49.00%,3.00%,37.00%,47.00%,16.00%
18/09/2021,Newspoll,YouGov ,Online ,,47.00%,35.00%,18.00%,46.00%,50.00%,4.00%,37.00%,48.00%,15.00%
28/08/2021,Newspoll,YouGov ,Online ,1528,50.00%,34.00%,16.00%,49.00%,47.00%,4.00%,40.00%,47.00%,13.00%
07/08/2021,Newspoll,YouGov ,Online ,1527,49.00%,36.00%,15.00%,47.00%,49.00%,4.00%,38.00%,46.00%,16.00%
17/07/2021,Resolve Political Monitor,Resolve Strategic ,CATI/Online ,1600,45.00%,24.00%,31.00%,45.00%,46.00%,9.00%,30.00%,46.00%,24.00%
17/07/2021,Newspoll,YouGov ,Online ,1506,51.00%,33.00%,16.00%,51.00%,45.00%,4.00%,38.00%,46.00%,16.00%
06/07/2021,Essential,Essential ,Online ,1099,46.00%,28.00%,26.00%,51.00%,40.00%,9.00%,41.00%,35.00%,24.00%
26/06/2021,Newspoll,YouGov ,Online ,1513,55.00%,33.00%,14.00%,55.00%,41.00%,4.00%,40.00%,45.00%,15.00%
13/06/2021,Resolve Political Monitor,Resolve Strategic ,CATI/Online ,1600,46.00%,23.00%,31.00%,48.00%,41.00%,11.00%,31.00%,44.00%,25.00%
08/06/2021,Essential,Essential ,Online ,1104,48.00%,28.00%,24.00%,57.00%,36.00%,8.00%,39.00%,36.00%,24.00%
05/06/2021,Newspoll,YouGov ,Online ,1516,53.00%,32.00%,15.00%,54.00%,43.00%,3.00%,38.00%,47.00%,15.00%
16/05/2021,Resolve Political Monitor,Resolve Strategic ,CATI/Online ,1622,48.00%,25.00%,27.00%,,,,,,
15/05/2021,Newspoll,YouGov ,Online ,1506,55.00%,30.00%,15.00%,58.00%,38.00%,4.00%,39.00%,46.00%,15.00%
24/04/2021,Newspoll,YouGov ,Online ,1514,56.00%,30.00%,14.00%,59.00%,37.00%,4.00%,40.00%,43.00%,17.00%
16/04/2021,Resolve Political Monitor,Resolve Strategic ,CATI/Online ,2000,47.00%,25.00%,28.00%,,,,,,
12/04/2021,Essential,Essential ,Online ,1368,47.00%,28.00%,25.00%,54.00%,37.00%,9.00%,39.00%,34.00%,27.00%
27/03/2021,Newspoll,YouGov ,Online ,1517,52.00%,32.00%,16.00%,55.00%,40.00%,5.00%,42.00%,40.00%,18.00%
30/03/2021,Essential,Essential ,Online ,1100,52.00%,26.00%,22.00%,57.00%,35.00%,8.00%,41.00%,32.00%,27.00%
13/03/2021,Newspoll,YouGov ,Online ,1521,56.00%,30.00%,14.00%,62.00%,34.00%,4.00%,42.00%,41.00%,17.00%
20/02/2021,Newspoll,YouGov ,Online ,1504,61.00%,26.00%,13.00%,64.00%,32.00%,4.00%,38.00%,45.00%,17.00%
30/01/2021,Newspoll,YouGov ,Online ,1512,57.00%,29.00%,14.00%,63.00%,33.00%,4.00%,41.00%,43.00%,16.00%
01/12/2020,Essential,Essential ,Online ,1071,50.00%,24.00%,26.00%,62.00%,28.00%,10.00%,43.00%,29.00%,28.00%
28/11/2020,Newspoll,YouGov ,Online ,1511,60.00%,28.00%,12.00%,66.00%,30.00%,4.00%,44.00%,41.00%,15.00%
06/11/2020,Newspoll,YouGov ,Online ,1510,58.00%,29.00%,13.00%,64.00%,31.00%,5.00%,43.00%,39.00%,18.00%
10/10/2020,Newspoll,YouGov ,Online ,1527,57.00%,28.00%,15.00%,65.00%,31.00%,4.00%,39.00%,43.00%,18.00%
19/09/2020,Newspoll,YouGov ,Online ,2068,59.00%,27.00%,14.00%,65.00%,31.00%,4.00%,39.00%,40.00%,21.00%
29/08/2020,Newspoll,YouGov ,Online ,1507,58.00%,29.00%,13.00%,64.00%,32.00%,4.00%,43.00%,41.00%,16.00%
09/08/2020,Essential,Essential ,Online ,1010,52.00%,22.00%,26.00%,66.00%,23.00%,11.00%,44.00%,30.00%,26.00%
08/08/2020,Newspoll,YouGov ,Online ,1509,60.00%,25.00%,15.00%,68.00%,29.00%,3.00%,41.00%,38.00%,15.00%
18/07/2020,Newspoll,YouGov ,Online ,1850,59.00%,26.00%,15.00%,68.00%,27.00%,5.00%,41.00%,40.00%,19.00%
12/07/2020,Essential,Essential ,Online ,1054,50.00%,27.00%,23.00%,63.00%,27.00%,10.00%,44.00%,28.00%,28.00%
27/06/2020,Newspoll,YouGov ,Online ,1521,58.00%,26.00%,16.00%,68.00%,27.00%,5.00%,42.00%,40.00%,18.00%
06/06/2020,Newspoll,YouGov ,Online ,1512,56.00%,26.00%,18.00%,66.00%,29.00%,5.00%,41.00%,38.00%,21.00%
02/06/2020,Essential,Essential ,Online ,1059,53.00%,23.00%,24.00%,65.00%,26.00%,9.00%,43.00%,30.00%,27.00%
16/05/2020,Newspoll,YouGov ,Online ,1504,56.00%,29.00%,15.00%,66.00%,30.00%,4.00%,44.00%,37.00%,19.00%
05/05/2020,Essential,Essential ,Online ,1093,50.00%,25.00%,25.00%,64.00%,27.00%,9.00%,42.00%,27.00%,31.00%
25/04/2020,Newspoll,YouGov ,Online ,1508,56.00%,28.00%,16.00%,68.00%,28.00%,4.00%,45.00%,34.00%,21.00%
05/04/2020,Essential,Essential ,Online ,1069,46.00%,27.00%,27.00%,59.00%,31.00%,10.00%,44.00%,29.00%,27.00%
03/04/2020,Newspoll,YouGov ,Online ,1508,53.00%,29.00%,18.00%,61.00%,35.00%,4.00%,45.00%,36.00%,19.00%
14/03/2020,Newspoll,YouGov ,Online ,1501,42.00%,38.00%,20.00%,41.00%,53.00%,6.00%,40.00%,40.00%,20.00%
11/03/2020,Essential,Essential ,Online ,1096,40.00%,35.00%,25.00%,41.00%,49.00%,10.00%,41.00%,33.00%,26.00%
22/02/2020,Newspoll,YouGov ,Online ,1513,40.00%,41.00%,19.00%,38.00%,58.00%,4.00%,39.00%,44.00%,17.00%
11/02/2020,Essential,Essential ,Online ,1056,36.00%,36.00%,28.00%,39.00%,52.00%,9.00%,41.00%,31.00%,28.00%
01/02/2020,Newspoll,YouGov ,Online ,1510,38.00%,43.00%,19.00%,37.00%,59.00%,4.00%,43.00%,40.00%,17.00%
11/01/2020,Essential,Essential ,Online ,1081,36.00%,39.00%,25.00%,40.00%,52.00%,8.00%,43.00%,30.00%,27.00%
11/01/2020,Newspoll,YouGov ,Online ,1505,39.00%,43.00%,18.00%,37.00%,59.00%,4.00%,46.00%,37.00%,17.00%
08/12/2019,Essential,Essential ,Online ,1035,,,,45.00%,43.00%,12.00%,39.00%,28.00%,33.00%
08/12/2019,Newspoll,YouGov ,Online ,,48.00%,34.00%,18.00%,45.00%,48.00%,7.00%,40.00%,41.00%,19.00%
23/11/2019,Newspoll,YouGov ,Online ,,46.00%,35.00%,19.00%,43.00%,52.00%,5.00%,38.00%,45.00%,17.00%
12/11/2019,Essential,YouGov ,Online ,,44.00%,28.00%,29.00%,45.00%,41.00%,14.00%,37.00%,34.00%,29.00%
10/11/2019,Newspoll,YouGov ,IVR/Online ,,46.00%,32.00%,22.00%,46.00%,43.00%,11.00%,42.00%,37.00%,21.00%
20/10/2019,Newspoll,YouGov ,IVR/Online ,,47.00%,32.00%,21.00%,47.00%,45.00%,8.00%,37.00%,44.00%,19.00%
15/10/2019,Essential,Essential ,Online ,,43.00%,28.00%,29.00%,47.00%,38.00%,15.00%,40.00%,29.00%,31.00%
29/09/2019,Newspoll,YouGov ,IVR/Online ,,50.00%,31.00%,19.00%,47.00%,43.00%,10.00%,39.00%,40.00%,21.00%
17/09/2019,Essential,Essential ,Online ,,46.00%,25.00%,29.00%,49.00%,36.00%,15.00%,36.00%,31.00%,33.00%
07/09/2019,Newspoll,YouGov ,IVR/Online ,,48.00%,28.00%,24.00%,49.00%,39.00%,12.00%,35.00%,40.00%,25.00%
01/09/2019,YouGov,YouGov ,Online ,,46.00%,23.00%,31.00%,,,,,,
22/08/2019,Essential,Essential ,Online ,,44.00%,28.00%,28.00%,48.00%,37.00%,15.00%,38.00%,29.00%,33.00%
18/08/2019,Newspoll,YouGov ,IVR/Online ,,48.00%,30.00%,22.00%,48.00%,42.00%,10.00%,41.00%,34.00%,25.00%
28/07/2019,Newspoll,YouGov ,IVR/Online ,,48.00%,31.00%,21.00%,51.00%,36.00%,13.00%,39.00%,36.00%,25.00%
21/07/2019,Essential,Essential ,Online ,,44.00%,26.00%,30.00%,48.00%,34.00%,18.00%,39.00%,24.00%,37.00%
