end_date,brand,interview_mode,sample_size,p_lnp,p_alp,p_grn,p_onp,p_uap,p_other,tpp_lnp,tpp_alp
18/05/2022,Ipsos[6],Telephone/online,1996,35%,36%,13%,5%,3%,8%,47%,53%
17/05/2022,Resolve Strategic[7],Telephone/online,2049,34%,31%,14%,6%,4%,10%,49%,51%
16/05/2022,Essential[8],Online,1600,36%,35%,9%,4%,3%,6%,46%,48%
15/05/2022,Roy Morgan[9],Telephone/online,1366,34%,34%,13%,4%,1%,14%,47%,53%
13/05/2022,Newspoll-YouGov[10],Online,1532,35%,38%,11%,6%,3%,7%,46%,54%
8/05/2022,Roy Morgan[11],Telephone/online,1401,34%,35.50%,13%,4%,1%,12.50%,45.50%,54.50%
7/05/2022,Newspoll-YouGov[12],Online,1523,35%,39%,11%,5%,4%,6%,46%,54%
7/05/2022,Ipsos[13],Telephone/online,2311,29%,35%,12%,4%,3%,10%,43%,57%
1/05/2022,Roy Morgan[14],Telephone/online,1487,35%,35%,13%,3%,1%,13%,44.50%,55.50%
30/04/2022,Essential[15],Online,1500,36%,35%,10%,3%,4%,5%,45%,49%
30/04/2022,Newspoll-YouGov[16],Online,1538,36%,38%,11%,5%,4%,6%,47%,53%
30/04/2022,Resolve Strategic[17],Online,1408,33%,34%,15%,5%,5%,8%,46%,54%
24/04/2022,Roy Morgan[18],Telephone/online,1393,35.50%,35%,12%,4.50%,1.50%,11.50%,45.50%,54.50%
23/04/2022,Newspoll-YouGov[19],Online,1538,36%,37%,11%,3%,4%,9%,47%,53%
23/04/2022,Ipsos[20],Telephone/online,2302,32%,34%,12%,4%,3%,8%,45%,55%
20/04/2022,Essential[6],Online,1020,37%,35%,9%,3%,4%,5%,46%,47%
17/04/2022,Roy Morgan[7],Telephone/online,1382,36%,35%,14%,5%,2%,10%,45%,55%
17/04/2022,Newspoll-YouGov[8],Online,1510,35%,36%,12%,4%,4%,9%,47%,53%
16/04/2022,Resolve Strategic[9],Online,1404,35%,34%,11%,4%,4%,13%,,
10/04/2022,Roy Morgan[10],Telephone/online,1384,33%,36%,13%,5%,2%,13%,43%,57%
9/04/2022,Newspoll-YouGov[11],Online,1506,36%,37%,10%,3%,4%,10%,47%,53%
3/04/2022,Resolve Strategic[12],Online,1681,34%,38%,11%,2%,3%,12%,,
3/04/2022,Roy Morgan[13],Telephone/online,1367,33%,40%,11%,4%,1%,12%,43%,57%
3/04/2022,Newspoll-YouGov[14],Online,1531,36%,38%,10%,3%,3%,10%,46%,54%
2/04/2022,Essential[15],Online,1086,37%,36%,10%,4%,3%,5%,45%,50%
2/04/2022,Ipsos[16],Telephone/online,2563,31%,35%,10%,4%,2%,8%,42%,51%
27/03/2022,Roy Morgan[17],Online,1404,33%,36%,13%,4%,1%,15%,45%,56%
20/03/2022,Essential[6],Online,1091,37%,37%,9%,3%,2%,4%,44%,48%
20/03/2022,Roy Morgan[18],Telephone/online,1418,31%,38%,12%,3%,1%,16%,42%,58%
13/03/2022,Roy Morgan[19],Telephone/online,1947,34%,37%,12%,3%,1%,14%,44%,56%
12/03/2022,Newspoll-YouGov[20],Online,1520,35%,41%,8%,3%,3%,10%,45%,55%
6/03/2022,Essential[21],Online,1093,36%,35%,10%,3%,3%,4%,44%,49%
3/03/2022,Roy Morgan[22],Telephone/online,1141,34%,38%,12%,4%,1%,13%,44%,57%
26/02/2022,Newspoll-YouGov[23],Online,1525,35%,41%,9%,3%,4%,8%,45%,55%
23/02/2022,Roy Morgan[24],Telephone/online,2261,33%,38%,13%,4%,2%,13%,44%,57%
20/02/2022,Resolve Strategic[25],Online,1604,33%,35%,10%,3%,4%,15%,,
20/02/2022,Essential[26],Online,1089,35%,38%,9%,5%,3%,4%,45%,49%
13/02/2022,Roy Morgan[27],Telephone/online,2796,33%,39%,12%,4%,2%,12%,43%,57%
12/02/2022,Newspoll-YouGov[28],Online,1526,34%,41%,8%,3%,,14%,45%,55%
6/02/2022,Essential[29],Online,1069,37%,35%,9%,4%,2%,5%,46%,47%
30/01/2022,Newspoll-YouGov[30],Online,1523,34%,41%,11%,3%,,11%,44%,56%
30/01/2022,Roy Morgan[31],Telephone/online,2783,33%,38%,12%,4%,2%,13%,44%,57%
23/01/2022,Essential[32],Online,1062,36%,37%,8%,3%,,9%,43%,50%
16/01/2022,Roy Morgan[33],Telephone/online,2791,35%,37%,12%,3%,1%,13%,44%,56%
15/01/2022,Resolve Strategic[34],Online,1607,34%,35%,11%,3%,,17%,,
13/12/2021,Essential,Online,1095,36%,36%,9%,4%,,6%,45%,47%
19/12/2021,Roy Morgan,Telephone/online,,35%,37%,12%,4%,,13%,45%,56%
5/12/2021,Essential,Online,1094,38%,35%,10%,3%,,7%,45%,48%
5/12/2021,Roy Morgan,Telephone/Online ,2805,35%,36%,13%,4%,,14%,44%,57%
4/12/2021,Newspoll-YouGov ,Online ,1518,36%,38%,10%,3%,,13%,47%,53%
21/11/2021,Essential ,Online ,1095,36%,37%,10%,4%,,7%,45%,48%
21/11/2021,Resolve Strategic ,Online ,1781,39%,32%,11%,3%,,14%,,
21/11/2021,Roy Morgan ,Telephone/Online ,2795,36%,36%,12%,4%,,14%,45%,56%
13/11/2021,Newspoll-YouGov ,Online ,1524,37%,38%,11%,2%,,12%,47%,53%
7/10/2021,Essential ,Online ,1089,35%,37%,9%,3%,,6%,44%,46%
7/11/2021,Roy Morgan ,Telephone/Online ,2723,37%,35%,12%,3%,,14%,47%,54%
24/10/2021,Roy Morgan ,Telephone/Online ,2778,37%,35%,14%,4%,,12%,46%,54%
23/10/2021,Newspoll-YouGov ,Online ,1515,35%,38%,11%,3%,,13%,46%,54%
10/10/2021,Roy Morgan ,Telephone/Online ,2794,38%,36%,12%,3%,,12%,47%,53%
2/10/2021,Newspoll-YouGov ,Online ,1545,37%,37%,11%,2%,,13%,47%,53%
26/09/2021,Roy Morgan ,Telephone/Online ,2752,36%,36%,13%,4%,,12%,46%,54%
19/09/2021,Resolve Strategic ,Online ,1606,39%,31%,10%,4%,,16%,,
18/09/2021,Newspoll-YouGov ,Online ,,37%,38%,10%,3%,,12%,47%,53%
12/09/2021,Roy Morgan ,Telephone/Online ,2735,40%,35%,13%,3%,,10%,48%,53%
29/08/2021,Roy Morgan ,Telephone/Online ,2735,38%,39%,12%,3%,,10%,46%,55%
28/08/2021,Newspoll-YouGov ,Online ,1528,36%,40%,10%,3%,,11%,46%,54%
21/08/2021,Resolve Strategic ,Online ,1607,40%,32%,12%,2%,,14%,,
15/08/2021,Roy Morgan ,Telephone/Online ,2747,38%,38%,13%,4%,,9%,46%,54%
7/08/2021,Newspoll-YouGov ,Online ,1527,39%,39%,11%,3%,,8%,47%,53%
1/08/2021,Roy Morgan ,Telephone/Online ,2709,37%,37%,13%,3%,,11%,47%,54%
19/07/2021,Essential ,Online ,,37%,36%,10%,4%,,6%,45%,47%
18/07/2021,Roy Morgan ,Telephone/Online ,2737,39%,37%,12%,3%,,10%,48%,53%
17/07/2021,Resolve Strategic ,Online ,1607,38%,35%,12%,4%,,12%,,
17/07/2021,Newspoll-YouGov ,Online ,1506,39%,39%,10%,3%,,9%,47%,53%
5/07/2021,Essential ,Online ,,37%,36%,8%,4%,,5%,44%,48%
26/06/2021,Newspoll-YouGov ,Online ,1513,41%,37%,11%,3%,,8%,49%,51%
20/06/2021,Roy Morgan ,Telephone/Online ,2782,42%,35%,12%,4%,,9%,50%,51%
21/06/2021,Essential ,Online ,,38%,36%,10%,4%,,5%,45%,47%
13/06/2021,Resolve Strategic ,Online ,1600,40%,36%,10%,3%,,12%,,
7/06/2021,Essential ,Online ,,38%,35%,10%,4%,,7%,44%,48%
6/06/2021,Roy Morgan ,Telephone/Online ,2817,40%,36%,12%,3%,,10%,49%,51%
5/06/2021,Newspoll-YouGov ,Online ,1516,41%,36%,11%,3%,,9%,50%,50%
24/05/2021,Essential ,Online ,,37%,35%,10%,3%,,6%,44%,48%
16/05/2021,Resolve Strategic ,Online ,1622,39%,35%,12%,2%,,13%,,
15/05/2021,Newspoll-YouGov ,Online ,1506,41%,36%,12%,2%,,9%,49%,51%
10/05/2021,Essential ,Online ,,38%,36%,9%,3%,,6%,44%,48%
26/04/2021,Essential ,Online ,,39%,34%,10%,4%,,6%,46%,46%
24/04/2021,Newspoll-YouGov ,Online ,1514,41%,38%,10%,3%,,8%,49%,51%
16/04/2021,Resolve Strategic ,CATI/Online ,2000,38%,33%,12%,6%,,11%,,
12/04/2021,Essential ,Online ,,37%,36%,10%,3%,,7%,45%,48%
29/03/2021,Essential ,Online ,,39%,36%,8%,3%,,7%,46%,47%
27/03/2021,Newspoll-YouGov ,Online ,1517,40%,38%,11%,2%,,9%,48%,52%
15/03/2021,Essential ,Online ,,38%,34%,9%,3%,,8%,47%,47%
14/03/2021,Roy Morgan ,Telephone/Online ,2747,41%,35%,13%,3%,,10%,50%,51%
13/03/2021,Newspoll-YouGov ,Online ,1521,39%,39%,10%,3%,,9%,48%,52%
1/03/2021,Essential ,Online ,,37%,34%,9%,4%,,8%,45%,48%
20/02/2021,Newspoll-YouGov ,Online ,1504,42%,37%,10%,3%,,8%,50%,50%
15/02/2021,Essential ,Online ,,39%,35%,8%,4%,,7%,47%,47%
14/02/2021,Roy Morgan ,Telephone/Online ,2786,40%,35%,13%,4%,,9%,50%,51%
1/02/2021,Essential[29] ,Online ,1092,37%,35%,10%,3%,,7%,44%,47%
30/01/2021,Newspoll-YouGov ,Online ,1512,42%,36%,10%,3%,,9%,50%,50%
18/01/2021,Essential ,Online ,,40%,33%,10%,3%,,7%,48%,45%
14/12/2020,Essential ,Online ,,37%,35%,8%,4%,,7%,45%,46%
30/11/2020,Essential ,Online ,,41%,33%,8%,4%,,6%,49%,43%
28/11/2020,Newspoll-YouGov ,Online ,1511,43%,36%,11%,2%,,8%,51%,49%
16/11/2020,Essential ,Online ,,38%,35%,9%,4%,,6%,45%,47%
22/11/2020,Roy Morgan ,Telephone/Online ,2824,42%,34%,12%,4%,,8%,51%,50%
7/11/2020,Newspoll-YouGov ,Online ,1510,43%,35%,11%,3%,,8%,51%,49%
2/11/2020,Essential ,Online ,,39%,35%,9%,3%,,5%,44%,46%
19/10/2020,Essential ,Online ,,39%,35%,9%,3%,,7%,48%,45%
12/10/2020,Essential ,Online ,,40%,33%,9%,3%,,5%,47%,44%
10/10/2020,Newspoll-YouGov ,Online ,1527,44%,34%,11%,3%,,8%,52%,48%
5/10/2020,Essential ,Online ,,39%,34%,9%,5%,,6%,47%,46%
21/09/2020,Essential ,Online ,,41%,31%,10%,4%,,5%,49%,42%
19/09/2020,Newspoll-YouGov ,Online ,2068,43%,34%,12%,3%,,8%,51%,49%
7/09/2020,Essential ,Online ,,38%,32%,10%,3%,,9%,45%,47%
29/08/2020,Newspoll-YouGov ,Online ,1507,41%,36%,11%,3%,,9%,50%,50%
24/08/2020,Essential ,Online ,,39%,35%,9%,4%,,6%,47%,45%
16/08/2020,Roy Morgan ,Telephone/Online ,2841,46%,33%,11%,3%,,8%,54%,46%
10/08/2020,Essential ,Online ,,38%,34%,9%,4%,,5%,46%,44%
8/08/2020,Newspoll-YouGov ,Online ,1509,43%,33%,11%,4%,,9%,52%,48%
26/07/2020,Essential ,Online ,1058,38%,35%,9%,4%,,6%,45%,47%
19/07/2020,Roy Morgan ,Telephone/Online ,2589,44%,34%,11%,3%,,10%,52%,49%
18/07/2020,Newspoll-YouGov ,Online ,1850,44%,34%,10%,4%,,8%,53%,47%
13/07/2020,Essential ,Online ,1054,37%,34%,10%,4%,,6%,45%,46%
29/06/2020,Essential ,Online ,1079,39%,33%,9%,4%,,6%,47%,45%
27/07/2020,Newspoll-YouGov ,Online ,1521,42%,35%,11%,3%,,9%,51.00%,49.00%
22/06/2020,Essential ,Online ,1079,39%,33%,10%,5%,,6%,48.00%,46.00%
21/07/2020,Roy Morgan ,Telephone/Online ,2593,42.50%,34.50%,10.50%,4%,,8.50%,50.50%,49.50%
15/06/2020,Essential ,Online ,1087,38%,35%,9%,5%,,7%,47.00%,47.00%
8/06/2020,Essential ,Online ,1073,40%,33%,9%,4%,,6%,47.00%,45.00%
6/06/2020,Newspoll-YouGov ,Online ,1512,42%,34%,12%,4%,,8%,51.00%,49.00%
16/05/2020,Newspoll-YouGov ,Online ,1504,43%,35%,10%,3%,,9%,51.00%,49.00%
26/04/2020,Roy Morgan ,Telephone/Online ,2806,43.50%,33%,11.50%,3%,,9%,51.50%,48.50%
25/04/2020,Newspoll-YouGov ,Online ,1519,41%,36%,12%,4%,,7%,50.00%,50.00%
