,end_date,variable,value
0,2019-06-23,aa_sat,35.00
1,2019-07-21,aa_sat,39.00
2,2019-07-28,aa_sat,39.00
3,2019-08-18,aa_sat,41.00
4,2019-08-22,aa_sat,38.00
6,2019-09-07,aa_sat,35.00
7,2019-09-17,aa_sat,36.00
8,2019-09-29,aa_sat,39.00
9,2019-10-15,aa_sat,40.00
10,2019-10-20,aa_sat,37.00
11,2019-11-10,aa_sat,42.00
12,2019-11-12,aa_sat,37.00
13,2019-11-23,aa_sat,38.00
14,2019-12-08,aa_sat,40.00
15,2019-12-08,aa_sat,39.00
16,2020-01-11,aa_sat,43.00
17,2020-01-11,aa_sat,46.00
18,2020-02-01,aa_sat,43.00
19,2020-02-11,aa_sat,41.00
20,2020-02-22,aa_sat,39.00
21,2020-03-11,aa_sat,41.00
22,2020-03-14,aa_sat,40.00
23,2020-04-03,aa_sat,45.00
24,2020-04-05,aa_sat,44.00
25,2020-04-25,aa_sat,45.00
26,2020-05-05,aa_sat,42.00
27,2020-05-16,aa_sat,44.00
28,2020-06-02,aa_sat,43.00
29,2020-06-06,aa_sat,41.00
30,2020-06-27,aa_sat,42.00
31,2020-07-12,aa_sat,44.00
32,2020-07-18,aa_sat,41.00
33,2020-08-08,aa_sat,41.00
34,2020-08-09,aa_sat,44.00
35,2020-08-29,aa_sat,43.00
36,2020-09-19,aa_sat,39.00
37,2020-10-10,aa_sat,39.00
38,2020-11-06,aa_sat,43.00
39,2020-11-28,aa_sat,44.00
40,2020-12-01,aa_sat,43.00
41,2021-01-30,aa_sat,41.00
42,2021-02-20,aa_sat,38.00
43,2021-03-13,aa_sat,42.00
44,2021-03-27,aa_sat,42.00
45,2021-03-30,aa_sat,41.00
46,2021-04-12,aa_sat,39.00
48,2021-04-24,aa_sat,40.00
49,2021-05-15,aa_sat,39.00
51,2021-06-05,aa_sat,38.00
52,2021-06-08,aa_sat,39.00
53,2021-06-13,aa_sat,31.00
54,2021-06-26,aa_sat,40.00
55,2021-07-06,aa_sat,41.00
56,2021-07-17,aa_sat,38.00
57,2021-07-17,aa_sat,30.00
58,2021-08-07,aa_sat,38.00
59,2021-08-28,aa_sat,40.00
60,2021-09-18,aa_sat,37.00
61,2021-10-02,aa_sat,37.00
62,2019-06-23,aa_dissat,25.00
63,2019-07-21,aa_dissat,24.00
64,2019-07-28,aa_dissat,36.00
65,2019-08-18,aa_dissat,34.00
66,2019-08-22,aa_dissat,29.00
68,2019-09-07,aa_dissat,40.00
69,2019-09-17,aa_dissat,31.00
70,2019-09-29,aa_dissat,40.00
71,2019-10-15,aa_dissat,29.00
72,2019-10-20,aa_dissat,44.00
73,2019-11-10,aa_dissat,37.00
74,2019-11-12,aa_dissat,34.00
75,2019-11-23,aa_dissat,45.00
76,2019-12-08,aa_dissat,41.00
77,2019-12-08,aa_dissat,28.00
78,2020-01-11,aa_dissat,30.00
79,2020-01-11,aa_dissat,37.00
80,2020-02-01,aa_dissat,40.00
81,2020-02-11,aa_dissat,31.00
82,2020-02-22,aa_dissat,44.00
83,2020-03-11,aa_dissat,33.00
84,2020-03-14,aa_dissat,40.00
85,2020-04-03,aa_dissat,36.00
86,2020-04-05,aa_dissat,29.00
87,2020-04-25,aa_dissat,34.00
88,2020-05-05,aa_dissat,27.00
89,2020-05-16,aa_dissat,37.00
90,2020-06-02,aa_dissat,30.00
91,2020-06-06,aa_dissat,38.00
92,2020-06-27,aa_dissat,40.00
93,2020-07-12,aa_dissat,28.00
94,2020-07-18,aa_dissat,40.00
95,2020-08-08,aa_dissat,38.00
96,2020-08-09,aa_dissat,30.00
97,2020-08-29,aa_dissat,41.00
98,2020-09-19,aa_dissat,40.00
99,2020-10-10,aa_dissat,43.00
100,2020-11-06,aa_dissat,39.00
101,2020-11-28,aa_dissat,41.00
102,2020-12-01,aa_dissat,29.00
103,2021-01-30,aa_dissat,43.00
104,2021-02-20,aa_dissat,45.00
105,2021-03-13,aa_dissat,41.00
106,2021-03-27,aa_dissat,40.00
107,2021-03-30,aa_dissat,32.00
108,2021-04-12,aa_dissat,34.00
110,2021-04-24,aa_dissat,43.00
111,2021-05-15,aa_dissat,46.00
113,2021-06-05,aa_dissat,47.00
114,2021-06-08,aa_dissat,36.00
115,2021-06-13,aa_dissat,44.00
116,2021-06-26,aa_dissat,45.00
117,2021-07-06,aa_dissat,35.00
118,2021-07-17,aa_dissat,46.00
119,2021-07-17,aa_dissat,46.00
120,2021-08-07,aa_dissat,46.00
121,2021-08-28,aa_dissat,47.00
122,2021-09-18,aa_dissat,48.00
123,2021-10-02,aa_dissat,47.00
