,end_date,value,variable,smooth,noise,ci_top,ci_bot
61,2019-06-23,35.0,aa_sat,37.770540777970076,-2.7705407779700764,42.40917658384474,32.38532264879646
60,2019-07-21,39.0,aa_sat,38.01899769137334,0.9810023086266568,42.657633497248014,32.63377956219973
59,2019-07-28,39.0,aa_sat,38.1427718241954,0.8572281758046003,42.78140763007006,32.757553695021784
58,2019-08-18,41.0,aa_sat,38.13775467811107,2.8622453218889277,42.776390483985736,32.75253654893746
57,2019-08-22,38.0,aa_sat,38.03186329865405,-0.03186329865405213,42.670499104528716,32.646645169480436
55,2019-09-07,35.0,aa_sat,37.97688536493351,-2.9768853649335085,42.61552117080818,32.59166723575989
54,2019-09-17,36.0,aa_sat,37.9014689536243,-1.9014689536243026,42.54010475949897,32.51625082445069
53,2019-09-29,39.0,aa_sat,38.01566380848018,0.984336191519823,42.65429961435484,32.63044567930656
52,2019-10-15,40.0,aa_sat,38.228574476249676,1.7714255237503238,42.86721028212435,32.84335634707606
51,2019-10-20,37.0,aa_sat,38.49011153602285,-1.4901115360228516,43.12874734189752,33.104893406849236
50,2019-11-10,42.0,aa_sat,38.744975800168305,3.255024199831695,43.383611606042976,33.35975767099469
49,2019-11-12,37.0,aa_sat,39.01023454836,-2.0102345483600033,43.648870354234674,33.62501641918639
48,2019-11-23,38.0,aa_sat,39.349771244192546,-1.3497712441925458,43.98840705006721,33.96455311501893
47,2019-12-08,40.0,aa_sat,39.86801399478309,0.13198600521690906,44.506649800657755,34.482795865609475
46,2019-12-08,39.0,aa_sat,40.50411334997834,-1.50411334997834,45.14274915585301,35.118895220804724
44,2020-01-11,43.0,aa_sat,41.14797660695671,1.8520233930432894,45.786612412831374,35.762758477783095
45,2020-01-11,46.0,aa_sat,41.64908032886157,4.350919671138428,46.28771613473624,36.263862199687956
43,2020-02-01,43.0,aa_sat,41.85866733459065,1.141332665409351,46.49730314046532,36.47344920541703
42,2020-02-11,41.0,aa_sat,41.84878967482007,-0.8487896748200683,46.48742548069474,36.46357154564645
41,2020-02-22,39.0,aa_sat,41.768783319092954,-2.768783319092954,46.40741912496762,36.38356518991934
40,2020-03-11,41.0,aa_sat,41.74057017970649,-0.7405701797064879,46.37920598558115,36.35535205053287
39,2020-03-14,40.0,aa_sat,41.98489940160877,-1.9848994016087715,46.62353520748344,36.599681272435156
38,2020-04-03,45.0,aa_sat,42.38750228175271,2.6124977182472904,47.02613808762737,37.002284152579094
37,2020-04-05,44.0,aa_sat,42.79629499290752,1.2037050070924806,47.43493079878219,37.4110768637339
36,2020-04-25,45.0,aa_sat,43.11934354693806,1.8806564530619383,47.757979352812725,37.734125417764446
35,2020-05-05,42.0,aa_sat,43.237733006563964,-1.237733006563964,47.87636881243863,37.85251487739035
34,2020-05-16,44.0,aa_sat,43.13286867007438,0.8671313299256198,47.771504475949044,37.747650540900764
33,2020-06-02,43.0,aa_sat,42.89384418084089,0.10615581915911321,47.53247998671556,37.50862605166727
32,2020-06-06,41.0,aa_sat,42.68841247331843,-1.6884124733184294,47.32704827919309,37.30319434414481
31,2020-06-27,42.0,aa_sat,42.46578299851439,-0.465782998514392,47.104418804389056,37.080564869340776
30,2020-07-12,44.0,aa_sat,42.30380754343353,1.6961924565664717,46.94244334930819,36.91858941425991
29,2020-07-18,41.0,aa_sat,42.17448346661032,-1.1744834666103188,46.81311927248498,36.7892653374367
28,2020-08-08,41.0,aa_sat,42.09069633130694,-1.0906963313069369,46.7293321371816,36.70547820213332
27,2020-08-09,44.0,aa_sat,41.9284343289368,2.0715656710631976,46.56707013481147,36.54321619976319
26,2020-08-29,43.0,aa_sat,41.75250353530872,1.247496464691281,46.39113934118339,36.3672854061351
25,2020-09-19,39.0,aa_sat,41.65515112049367,-2.65515112049367,46.29378692636834,36.269932991320054
24,2020-10-10,39.0,aa_sat,41.62625977087727,-2.626259770877269,46.26489557675194,36.24104164170365
23,2020-11-06,43.0,aa_sat,41.652948903222935,1.347051096777065,46.291584709097606,36.26773077404932
22,2020-11-28,44.0,aa_sat,41.670944949115174,2.3290550508848256,46.30958075498984,36.28572681994156
21,2020-12-01,43.0,aa_sat,41.64985757760603,1.3501424223939722,46.2884933834807,36.26463944843241
20,2021-01-30,41.0,aa_sat,41.51896547653289,-0.518965476532891,46.157601282407555,36.133747347359275
19,2021-02-20,38.0,aa_sat,41.30684244188155,-3.3068424418815496,45.94547824775621,35.921624312707934
18,2021-03-13,42.0,aa_sat,41.04507716312586,0.9549228368741396,45.683712969000524,35.659859033952245
16,2021-03-27,42.0,aa_sat,40.7757522492668,1.2242477507331984,45.41438805514147,35.390534120093186
17,2021-03-30,41.0,aa_sat,40.49292856559619,0.5070714344038123,45.13156437147086,35.10771043642257
15,2021-04-12,39.0,aa_sat,40.068488426039664,-1.0684884260396643,44.707124231914335,34.68327029686605
