,end_date,value,variable,smooth,noise,ci_top,ci_bot
62,2019-06-23,36.0,sm_dissat,36.267111649097274,-0.2671116490972736,45.6261274664812,29.131931954423052
61,2019-07-21,34.0,sm_dissat,36.620848641766884,-2.6208486417668837,45.97986445915081,29.485668947092663
60,2019-07-28,36.0,sm_dissat,37.09607069325666,-1.0960706932566566,46.455086510640584,29.960890998582435
59,2019-08-18,42.0,sm_dissat,37.488492506647766,4.511507493352234,46.84750832403169,30.353312811973545
58,2019-08-22,37.0,sm_dissat,38.013271644136786,-1.0132716441367862,47.37228746152071,30.878091949462565
56,2019-09-07,39.0,sm_dissat,38.55022674250144,0.44977325749856334,47.909242559885364,31.415047047827215
55,2019-09-17,36.0,sm_dissat,39.1267450382081,-3.1267450382080995,48.48576085559203,31.99156534353388
54,2019-09-29,43.0,sm_dissat,39.91218113221045,3.087818867789551,49.271196949594376,32.77700143753623
53,2019-10-15,38.0,sm_dissat,40.79701684671392,-2.797016846713923,50.15603266409785,33.6618371520397
52,2019-10-20,45.0,sm_dissat,41.856850226106076,3.1431497738939242,51.21586604349,34.721670531431855
51,2019-11-10,43.0,sm_dissat,43.07530792612026,-0.07530792612026005,52.43432374350419,35.94012823144604
50,2019-11-12,41.0,sm_dissat,44.421413376716465,-3.4214133767164654,53.78042919410039,37.286233682042244
49,2019-11-23,52.0,sm_dissat,45.7991174566052,6.200882543394798,55.15813327398913,38.66393776193098
48,2019-12-08,48.0,sm_dissat,47.35040982085011,0.6495901791498895,56.70942563823404,40.21523012617589
47,2019-12-08,43.0,sm_dissat,49.0783041367177,-6.078304136717698,58.437319954101625,41.94312444204348
45,2020-01-11,52.0,sm_dissat,50.80940041900615,1.1905995809938474,60.16841623639008,43.67422072433193
46,2020-01-11,59.0,sm_dissat,52.34491088254714,6.65508911745286,61.70392669993107,45.20973118787292
44,2020-02-01,59.0,sm_dissat,53.22813953322656,5.77186046677344,62.58715535061049,46.09295983855234
43,2020-02-11,52.0,sm_dissat,53.37948113990207,-1.3794811399020688,62.738496957285996,46.24430144522785
42,2020-02-22,58.0,sm_dissat,52.22171214571861,5.778287854281388,61.58072796310254,45.08653245104439
41,2020-03-11,49.0,sm_dissat,49.74973416467344,-0.7497341646734412,59.10874998205737,42.61455446999922
40,2020-03-14,53.0,sm_dissat,46.289540609021344,6.710459390978656,55.64855642640527,39.15436091434712
39,2020-04-03,35.0,sm_dissat,42.144854547607196,-7.144854547607196,51.50387036499112,35.009674852932974
38,2020-04-05,31.0,sm_dissat,37.974330213865834,-6.974330213865834,47.33334603124976,30.839150519191612
37,2020-04-25,28.0,sm_dissat,34.23788432372459,-6.237884323724593,43.59690014110852,27.102704629050372
36,2020-05-05,27.0,sm_dissat,31.439242689483493,-4.439242689483493,40.79825850686742,24.30406299480927
35,2020-05-16,30.0,sm_dissat,29.509430192145242,0.490569807854758,38.868446009529166,22.374250497471017
34,2020-06-02,26.0,sm_dissat,28.51337103186353,-2.5133710318635316,37.872386849247455,21.378191337189307
33,2020-06-06,29.0,sm_dissat,27.845867761480434,1.1541322385195656,37.20488357886436,20.710688066806213
32,2020-06-27,27.0,sm_dissat,27.647282414995498,-0.6472824149954981,37.00629823237942,20.512102720321273
31,2020-07-12,27.0,sm_dissat,27.515638618156895,-0.5156386181568955,36.87465443554082,20.38045892348267
30,2020-07-18,27.0,sm_dissat,27.54125286119242,-0.5412528611924188,36.900268678576346,20.406073166518198
29,2020-08-08,29.0,sm_dissat,28.039474850847565,0.9605251491524349,37.39849066823149,20.90429515617334
28,2020-08-09,23.0,sm_dissat,28.682147209848765,-5.682147209848765,38.04116302723269,21.546967515174543
27,2020-08-29,32.0,sm_dissat,29.904924311960997,2.095075688039003,39.263940129344924,22.769744617286776
26,2020-09-19,31.0,sm_dissat,31.30292824778676,-0.30292824778675964,40.66194406517069,24.16774855311254
25,2020-10-10,31.0,sm_dissat,32.61181216629734,-1.6118121662973408,41.97082798368127,25.47663247162312
0,2020-10-23,50.0,sm_dissat,33.41992833142529,16.58007166857471,42.77894414880922,26.28474863675107
24,2020-11-06,31.0,sm_dissat,33.665099972214705,-2.665099972214705,43.02411578959863,26.529920277540484
23,2020-11-28,30.0,sm_dissat,33.4469004117601,-3.4469004117600974,42.805916229144024,26.311720717085876
22,2020-12-01,28.0,sm_dissat,33.10801311827733,-5.108013118277327,42.467028935661254,25.972833423603106
21,2021-01-30,33.0,sm_dissat,32.94295279752173,0.05704720247827311,42.301968614905654,25.807773102847506
20,2021-02-20,32.0,sm_dissat,33.240704261952104,-1.2407042619521036,42.59972007933603,26.105524567277882
19,2021-03-13,34.0,sm_dissat,34.077610121312475,-0.07761012131247469,43.4366259386964,26.942430426638253
17,2021-03-27,40.0,sm_dissat,34.94537658450418,5.0546234154958185,44.30439240188811,27.81019688982996
18,2021-03-30,35.0,sm_dissat,35.88447465452479,-0.8844746545247872,45.243490471908714,28.749294959850566
16,2021-04-12,37.0,sm_dissat,36.75645130322899,0.24354869677100766,46.11546712061292,29.62127160855477
14,2021-04-24,37.0,sm_dissat,37.50818733253527,-0.5081873325352717,46.8672031499192,30.37300763786105
13,2021-05-15,38.0,sm_dissat,38.10428155311728,-0.10428155311728204,47.46329737050121,30.96910185844306
11,2021-06-05,43.0,sm_dissat,38.73856298625762,4.2614370137423805,48.09757880364155,31.6033832915834
10,2021-06-08,36.0,sm_dissat,39.40195022612187,-3.401950226121869,48.760966043505796,32.26677053144765
9,2021-06-13,41.0,sm_dissat,40.11408672896862,0.8859132710313773,49.47310254635255,32.9789070342944
8,2021-06-26,41.0,sm_dissat,41.009183557404334,-0.009183557404334408,50.36819937478826,33.87400386273011
7,2021-07-06,40.0,sm_dissat,42.11822891154168,-2.118228911541678,51.477244728925605,34.98304921686746
6,2021-07-17,45.0,sm_dissat,43.396372892757675,1.6036271072423247,52.7553887101416,36.261193198083454
5,2021-07-17,46.0,sm_dissat,44.722726161374965,1.2772738386250353,54.08174197875889,37.58754646670074
4,2021-08-07,49.0,sm_dissat,45.90845575427901,3.091544245720989,55.26747157166294,38.77327605960479
3,2021-08-28,47.0,sm_dissat,46.96408678350377,0.03591321649623325,56.323102600887694,39.828907088829546
2,2021-09-18,50.0,sm_dissat,47.714852353205885,2.2851476467941154,57.07386817058981,40.57967265853166
1,2021-10-02,49.0,sm_dissat,48.22835307599048,0.7716469240095165,57.58736889337441,41.09317338131626
