,end_date,variable,value
0,2019-06-23,ppm_sm,43.00
1,2019-07-21,ppm_sm,44.00
2,2019-07-28,ppm_sm,48.00
3,2019-08-18,ppm_sm,48.00
4,2019-08-22,ppm_sm,44.00
5,2019-09-01,ppm_sm,46.00
6,2019-09-07,ppm_sm,48.00
7,2019-09-17,ppm_sm,46.00
8,2019-09-29,ppm_sm,50.00
9,2019-10-15,ppm_sm,43.00
10,2019-10-20,ppm_sm,47.00
11,2019-11-10,ppm_sm,46.00
12,2019-11-12,ppm_sm,44.00
13,2019-11-23,ppm_sm,46.00
14,2019-12-08,ppm_sm,48.00
16,2020-01-11,ppm_sm,36.00
17,2020-01-11,ppm_sm,39.00
18,2020-02-01,ppm_sm,38.00
19,2020-02-11,ppm_sm,36.00
20,2020-02-22,ppm_sm,40.00
21,2020-03-11,ppm_sm,40.00
22,2020-03-14,ppm_sm,42.00
23,2020-04-03,ppm_sm,53.00
24,2020-04-05,ppm_sm,46.00
25,2020-04-25,ppm_sm,56.00
26,2020-05-05,ppm_sm,50.00
27,2020-05-16,ppm_sm,56.00
28,2020-06-02,ppm_sm,53.00
29,2020-06-06,ppm_sm,56.00
30,2020-06-27,ppm_sm,58.00
31,2020-07-12,ppm_sm,50.00
32,2020-07-18,ppm_sm,59.00
33,2020-08-08,ppm_sm,60.00
34,2020-08-09,ppm_sm,52.00
35,2020-08-29,ppm_sm,58.00
36,2020-09-19,ppm_sm,59.00
37,2020-10-10,ppm_sm,57.00
38,2020-10-23,ppm_sm,48.00
39,2020-11-06,ppm_sm,58.00
40,2020-11-28,ppm_sm,60.00
41,2020-12-01,ppm_sm,50.00
42,2021-01-30,ppm_sm,57.00
43,2021-02-20,ppm_sm,61.00
44,2021-03-13,ppm_sm,56.00
45,2021-03-27,ppm_sm,52.00
46,2021-03-30,ppm_sm,52.00
47,2021-04-12,ppm_sm,47.00
48,2021-04-16,ppm_sm,47.00
49,2021-04-24,ppm_sm,56.00
50,2021-05-15,ppm_sm,55.00
51,2021-05-16,ppm_sm,48.00
52,2021-06-05,ppm_sm,53.00
53,2021-06-08,ppm_sm,48.00
54,2021-06-13,ppm_sm,46.00
55,2021-06-26,ppm_sm,55.00
56,2021-07-06,ppm_sm,46.00
57,2021-07-17,ppm_sm,51.00
58,2021-07-17,ppm_sm,45.00
59,2021-08-07,ppm_sm,49.00
60,2021-08-28,ppm_sm,50.00
61,2021-09-18,ppm_sm,47.00
62,2021-10-02,ppm_sm,47.00
63,2019-06-23,ppm_aa,25.00
64,2019-07-21,ppm_aa,26.00
65,2019-07-28,ppm_aa,31.00
66,2019-08-18,ppm_aa,30.00
67,2019-08-22,ppm_aa,28.00
68,2019-09-01,ppm_aa,23.00
69,2019-09-07,ppm_aa,28.00
70,2019-09-17,ppm_aa,25.00
71,2019-09-29,ppm_aa,31.00
72,2019-10-15,ppm_aa,28.00
73,2019-10-20,ppm_aa,32.00
74,2019-11-10,ppm_aa,32.00
75,2019-11-12,ppm_aa,28.00
76,2019-11-23,ppm_aa,35.00
77,2019-12-08,ppm_aa,34.00
79,2020-01-11,ppm_aa,39.00
80,2020-01-11,ppm_aa,43.00
81,2020-02-01,ppm_aa,43.00
82,2020-02-11,ppm_aa,36.00
83,2020-02-22,ppm_aa,41.00
84,2020-03-11,ppm_aa,35.00
85,2020-03-14,ppm_aa,38.00
86,2020-04-03,ppm_aa,29.00
87,2020-04-05,ppm_aa,27.00
88,2020-04-25,ppm_aa,28.00
89,2020-05-05,ppm_aa,25.00
90,2020-05-16,ppm_aa,29.00
91,2020-06-02,ppm_aa,23.00
92,2020-06-06,ppm_aa,26.00
93,2020-06-27,ppm_aa,26.00
94,2020-07-12,ppm_aa,27.00
95,2020-07-18,ppm_aa,26.00
96,2020-08-08,ppm_aa,25.00
97,2020-08-09,ppm_aa,22.00
98,2020-08-29,ppm_aa,29.00
99,2020-09-19,ppm_aa,27.00
100,2020-10-10,ppm_aa,28.00
101,2020-10-23,ppm_aa,34.00
102,2020-11-06,ppm_aa,29.00
103,2020-11-28,ppm_aa,28.00
104,2020-12-01,ppm_aa,24.00
105,2021-01-30,ppm_aa,29.00
106,2021-02-20,ppm_aa,26.00
107,2021-03-13,ppm_aa,30.00
108,2021-03-27,ppm_aa,32.00
109,2021-03-30,ppm_aa,26.00
110,2021-04-12,ppm_aa,28.00
111,2021-04-16,ppm_aa,25.00
112,2021-04-24,ppm_aa,30.00
113,2021-05-15,ppm_aa,30.00
114,2021-05-16,ppm_aa,25.00
115,2021-06-05,ppm_aa,32.00
116,2021-06-08,ppm_aa,28.00
117,2021-06-13,ppm_aa,23.00
118,2021-06-26,ppm_aa,33.00
119,2021-07-06,ppm_aa,28.00
120,2021-07-17,ppm_aa,33.00
121,2021-07-17,ppm_aa,24.00
122,2021-08-07,ppm_aa,36.00
123,2021-08-28,ppm_aa,34.00
124,2021-09-18,ppm_aa,35.00
125,2021-10-02,ppm_aa,34.00
