,end_date,value,variable,smooth,noise,ci_top,ci_bot
61,2019-06-23,25.0,ppm_aa,27.165329065128812,-2.1653290651288124,33.37711775031235,19.563449078396026
60,2019-07-21,26.0,ppm_aa,27.514624096852142,-1.5146240968521418,33.72641278203568,19.912744110119355
59,2019-07-28,31.0,ppm_aa,27.618339277557975,3.3816607224420245,33.830127962741514,20.01645929082519
58,2019-08-18,30.0,ppm_aa,27.661933811055714,2.3380661889442855,33.87372249623925,20.060053824322928
57,2019-08-22,28.0,ppm_aa,27.556754312949693,0.4432456870503074,33.768542998133235,19.954874326216906
56,2019-09-01,23.0,ppm_aa,27.49250454633712,-4.49250454633712,33.70429323152066,19.890624559604333
55,2019-09-07,28.0,ppm_aa,27.50657084845904,0.49342915154095834,33.718359533642584,19.904690861726255
54,2019-09-17,25.0,ppm_aa,27.730572426840652,-2.730572426840652,33.942361112024194,20.128692440107866
53,2019-09-29,31.0,ppm_aa,28.31498642861564,2.68501357138436,34.52677511379918,20.713106441882854
52,2019-10-15,28.0,ppm_aa,29.025550448141797,-1.0255504481417965,35.237339133325335,21.42367046140901
51,2019-10-20,32.0,ppm_aa,29.905832423748993,2.0941675762510066,36.11762110893253,22.303952437016207
50,2019-11-10,32.0,ppm_aa,30.896273555629573,1.1037264443704267,37.10806224081311,23.294393568896787
49,2019-11-12,28.0,ppm_aa,32.10844836443318,-4.10844836443318,38.32023704961672,24.506568377700393
48,2019-11-23,35.0,ppm_aa,33.44052430128196,1.559475698718039,39.6523129864655,25.838644314549175
47,2019-12-08,34.0,ppm_aa,35.084494147513475,-1.0844941475134746,41.29628283269702,27.482614160780688
44,2020-01-11,39.0,ppm_aa,36.574867868233724,2.4251321317662757,42.78665655341727,28.972987881500938
45,2020-01-11,43.0,ppm_aa,37.90075388447665,5.09924611552335,44.11254256966019,30.298873897743864
43,2020-02-01,43.0,ppm_aa,38.588584485434346,4.411415514565654,44.80037317061789,30.98670449870156
42,2020-02-11,36.0,ppm_aa,38.58989057781508,-2.5898905778150834,44.801679262998626,30.988010591082297
41,2020-02-22,41.0,ppm_aa,37.927664351412446,3.072335648587554,44.13945303659599,30.32578436467966
40,2020-03-11,35.0,ppm_aa,36.515781376105274,-1.5157813761052736,42.727570061288816,28.913901389372487
