,end_date,value,variable,smooth,noise,ci_top,ci_bot
85,2019-06-23,43.0,ppm_sm,44.99539166466336,-1.9953916646633587,51.88964521030416,37.82495532703805
84,2019-07-21,44.0,ppm_sm,45.360807801114035,-1.360807801114035,52.255061346754836,38.190371463488724
83,2019-07-28,48.0,ppm_sm,45.638679414500224,2.361320585499776,52.532932960141025,38.46824307687491
82,2019-08-18,48.0,ppm_sm,45.95622471283652,2.043775287163477,52.850478258477324,38.78578837521121
81,2019-08-22,44.0,ppm_sm,46.17415624047818,-2.174156240478183,53.068409786118984,39.00371990285287
80,2019-09-01,46.0,ppm_sm,46.41629929370332,-0.4162992937033181,53.31055283934412,39.24586295607801
79,2019-09-07,48.0,ppm_sm,46.526763811497204,1.4732361885027956,53.421017357138005,39.35632747387189
78,2019-09-17,46.0,ppm_sm,46.55367561295827,-0.5536756129582727,53.447929158599074,39.38323927533296
77,2019-09-29,50.0,ppm_sm,46.523567736113506,3.476432263886494,53.41782128175431,39.353131398488195
76,2019-10-15,43.0,ppm_sm,46.39031020246767,-3.390310202467667,53.28456374810847,39.219873864842356
75,2019-10-20,47.0,ppm_sm,46.07892782414554,0.9210721758544622,52.97318136978634,38.90849148652023
74,2019-11-10,46.0,ppm_sm,45.722549451123136,0.27745054887686393,52.61680299676394,38.552113113497825
73,2019-11-12,44.0,ppm_sm,45.205328329775725,-1.2053283297757247,52.099581875416526,38.03489199215041
72,2019-11-23,46.0,ppm_sm,44.36196638937387,1.638033610626131,51.25621993501467,37.19153005174856
71,2019-12-08,48.0,ppm_sm,43.299882775636426,4.700117224363574,50.19413632127723,36.129446438011115
69,2020-01-11,39.0,ppm_sm,41.9554735404986,-2.955473540498602,48.8497270861394,34.78503720287329
68,2020-01-11,36.0,ppm_sm,40.72845316661952,-4.7284531666195235,47.622706712260324,33.55801682899421
67,2020-02-01,38.0,ppm_sm,39.880553674932926,-1.8805536749329264,46.77480722057373,32.710117337307615
66,2020-02-11,36.0,ppm_sm,39.557794996678695,-3.5577949966786946,46.452048542319496,32.38735865905338
65,2020-02-22,40.0,ppm_sm,40.21102454799085,-0.2110245479908528,47.105278093631654,33.04058821036554
64,2020-03-11,40.0,ppm_sm,41.563257478062496,-1.5632574780624964,48.4575110237033,34.392821140437185
63,2020-03-14,42.0,ppm_sm,43.50707607003045,-1.5070760700304504,50.40132961567125,36.33663973240514
62,2020-04-03,53.0,ppm_sm,45.716135575747906,7.283864424252094,52.61038912138871,38.545699238122594
61,2020-04-05,46.0,ppm_sm,47.960568040016575,-1.9605680400165753,54.854821585657376,40.790131702391264
60,2020-04-25,56.0,ppm_sm,49.95698580392588,6.043014196074118,56.85123934956668,42.78654946630057
59,2020-05-05,50.0,ppm_sm,51.561394767143916,-1.5613947671439163,58.45564831278472,44.390958429518605
58,2020-05-16,56.0,ppm_sm,52.85781839401164,3.1421816059883625,59.75207193965244,45.687382056386326
57,2020-06-02,53.0,ppm_sm,53.81343325874224,-0.8134332587422435,60.707686804383044,46.64299692111693
56,2020-06-06,56.0,ppm_sm,54.51185725864527,1.4881427413547286,61.40611080428607,47.34142092101996
55,2020-06-27,58.0,ppm_sm,55.0461948316246,2.9538051683754034,61.9404483772654,47.875758493999285
54,2020-07-12,50.0,ppm_sm,55.57408234075288,-5.574082340752881,62.46833588639368,48.40364600312757
53,2020-07-18,59.0,ppm_sm,55.89893970936079,3.101060290639211,62.79319325500159,48.72850337173548
52,2020-08-08,60.0,ppm_sm,56.2956391750125,3.7043608249875035,63.1898927206533,49.125202837387185
51,2020-08-09,52.0,ppm_sm,56.63497661845676,-4.634976618456761,63.52923016409756,49.46454028083145
50,2020-08-29,58.0,ppm_sm,56.89539554872271,1.1046044512772895,63.78964909436351,49.7249592110974
49,2020-09-19,59.0,ppm_sm,57.139866800575604,1.8601331994243964,64.0341203462164,49.96943046295029
48,2020-10-10,57.0,ppm_sm,57.183502679977146,-0.18350267997714553,64.07775622561795,50.013066342351834
47,2020-11-06,58.0,ppm_sm,57.1596969529054,0.8403030470946007,64.0539504985462,49.98926061528009
46,2020-11-28,60.0,ppm_sm,56.985739265792034,3.0142607342079657,63.879992811432835,49.81530292816672
45,2020-12-01,50.0,ppm_sm,56.71336275133148,-6.713362751331481,63.60761629697228,49.54292641370617
44,2021-01-30,57.0,ppm_sm,56.3514067431024,0.6485932568975983,63.2456602887432,49.18097040547709
43,2021-02-20,61.0,ppm_sm,55.740661095393264,5.259338904606736,62.634914641034065,48.57022475776795
42,2021-03-13,56.0,ppm_sm,54.935675859806054,1.0643241401939463,61.829929405446855,47.76523952218074
40,2021-03-27,52.0,ppm_sm,53.928655706083404,-1.9286557060834042,60.822909251724205,46.75821936845809
41,2021-03-30,52.0,ppm_sm,52.86276222356774,-0.8627622235677421,59.75701576920854,45.69232588594243
39,2021-04-12,47.0,ppm_sm,51.998444780828144,-4.9984447808281445,58.892698326468945,44.82800844320283
38,2021-04-16,47.0,ppm_sm,51.49799074711401,-4.4979907471140095,58.39224429275481,44.3275544094887
37,2021-04-24,56.0,ppm_sm,51.2530251077249,4.746974892275098,58.1472786533657,44.08258877009959
36,2021-05-15,55.0,ppm_sm,51.189835217378715,3.8101647826212854,58.084088763019516,44.0193988797534
35,2021-05-16,48.0,ppm_sm,50.989484980106745,-2.989484980106745,57.883738525747546,43.819048642481434
34,2021-06-05,53.0,ppm_sm,50.68150478333443,2.3184952166655677,57.57575832897523,43.51106844570912
33,2021-06-08,48.0,ppm_sm,50.2163173732704,-2.2163173732703996,57.1105709189112,43.04588103564509
32,2021-06-13,46.0,ppm_sm,49.66113979474951,-3.6611397947495092,56.55539334039031,42.4907034571242
31,2021-06-26,55.0,ppm_sm,49.24687805590262,5.75312194409738,56.14113160154342,42.07644171827731
30,2021-07-06,46.0,ppm_sm,48.89643686743628,-2.896436867436279,55.79069041307708,41.72600052981097
28,2021-07-17,45.0,ppm_sm,48.68604192672062,-3.6860419267206197,55.58029547236142,41.51560558909531
29,2021-07-17,51.0,ppm_sm,48.63259083652516,2.3674091634748393,55.52684438216596,41.46215449889985
27,2021-08-07,49.0,ppm_sm,48.48093761982362,0.5190623801763792,55.37519116546442,41.31050128219831
26,2021-08-28,50.0,ppm_sm,48.31096537588785,1.6890346241121534,55.20521892152865,41.140529038262535
