,end_date,value,variable,smooth,noise,ci_top,ci_bot
100,2019-07-28,11.0,p_grn,11.561239124066208,-0.5612391240662085,14.325994700142914,8.995828606062211
99,2019-08-18,11.0,p_grn,11.747364831460864,-0.7473648314608639,14.51212040753757,9.181954313456867
98,2019-09-07,12.0,p_grn,11.905661199556043,0.09433880044395693,14.670416775632749,9.340250681552046
97,2019-09-29,13.0,p_grn,12.040984884076074,0.9590151159239255,14.80574046015278,9.475574366072077
96,2019-10-20,13.0,p_grn,12.127778384117509,0.8722216158824914,14.892533960194214,9.562367866113512
95,2019-11-10,12.0,p_grn,12.182530098628394,-0.1825300986283942,14.9472856747051,9.617119580624397
94,2019-11-23,12.0,p_grn,12.201746454643,-0.20174645464300056,14.966502030719706,9.636335936639004
93,2019-12-08,11.0,p_grn,12.264709286730431,-1.2647092867304313,15.029464862807139,9.699298768726434
92,2020-01-11,12.0,p_grn,12.402901289339454,-0.4029012893394537,15.16765686541616,9.837490771335457
91,2020-02-01,13.0,p_grn,12.565278976280547,0.43472102371945276,15.330034552357255,9.99986845827655
90,2020-02-03,14.7,p_grn,12.70693309752826,1.993066902471739,15.471688673604966,10.141522579524263
89,2020-02-22,13.0,p_grn,12.74623538585456,0.2537646141454406,15.510990961931267,10.180824867850562
88,2020-03-14,12.0,p_grn,12.675395330721049,-0.6753953307210487,15.440150906797754,10.109984812717052
87,2020-04-03,13.0,p_grn,12.41290967239052,0.5870903276094808,15.177665248467225,9.847499154386522
86,2020-04-25,12.0,p_grn,12.058354115864763,-0.05835411586476269,14.823109691941468,9.492943597860766
85,2020-04-26,11.5,p_grn,11.641919514609015,-0.14191951460901464,14.40667509068572,9.076508996605018
84,2020-05-16,10.0,p_grn,11.188023716308445,-1.1880237163084448,13.952779292385152,8.622613198304448
83,2020-06-06,12.0,p_grn,10.735642356660051,1.2643576433399488,13.500397932736757,8.170231838656054
82,2020-06-08,9.0,p_grn,10.334934765343604,-1.3349347653436041,13.09969034142031,7.769524247339607
81,2020-06-15,9.0,p_grn,10.043801313076846,-1.0438013130768464,12.808556889153554,7.478390795072849
79,2020-06-22,10.0,p_grn,9.855423495907514,0.1445765040924858,12.620179071984222,7.290012977903517
77,2020-06-29,9.0,p_grn,9.789895587777908,-0.7898955877779077,12.554651163854615,7.224485069773911
76,2020-07-13,10.0,p_grn,9.846711305652061,0.15328869434793901,12.611466881728767,7.281300787648064
75,2020-07-18,10.0,p_grn,9.974238243316375,0.025761756683625237,12.73899381939308,7.408827725312378
74,2020-07-19,11.0,p_grn,10.063116973335179,0.9368830266648214,12.827872549411886,7.497706455331182
80,2020-07-21,10.5,p_grn,10.179942801476283,0.32005719852371683,12.944698377552989,7.614532283472286
73,2020-07-26,9.0,p_grn,10.227299704798156,-1.2272997047981562,12.992055280874862,7.661889186794159
78,2020-07-27,11.0,p_grn,10.242149439459089,0.7578505605409109,13.006905015535796,7.676738921455092
72,2020-08-08,11.0,p_grn,10.22283758701028,0.7771624129897194,12.987593163086988,7.657427069006284
71,2020-08-10,9.0,p_grn,10.217263993346275,-1.2172639933462754,12.982019569422981,7.651853475342278
70,2020-08-16,11.0,p_grn,10.220029733295087,0.7799702667049129,12.984785309371794,7.65461921529109
69,2020-08-24,9.0,p_grn,10.24238683268529,-1.2423868326852894,13.007142408761997,7.676976314681292
68,2020-08-29,11.0,p_grn,10.298274062664396,0.7017259373356044,13.063029638741103,7.732863544660399
67,2020-09-07,10.0,p_grn,10.338255164923629,-0.3382551649236287,13.103010741000336,7.772844646919632
66,2020-09-19,12.0,p_grn,10.329702867171378,1.6702971328286225,13.094458443248083,7.7642923491673805
