,end_date,value,variable,smooth,noise,ci_top,ci_bot
121,2019-07-28,9.0,p_other,7.615396442135145,1.384603557864855,11.632006450593817,3.039299345922693
120,2019-08-18,9.0,p_other,7.324600062347137,1.6753999376528634,11.341210070805808,2.7485029661346845
119,2019-09-07,5.0,p_other,7.073026646155972,-2.073026646155972,11.089636654614644,2.49692954994352
118,2019-09-29,6.0,p_other,6.923955596327155,-0.9239555963271551,10.940565604785828,2.347858500114703
117,2019-10-20,6.0,p_other,6.952320129655281,-0.9523201296552806,10.968930138113953,2.3762230334428285
116,2019-11-10,6.0,p_other,7.163358006470566,-1.163358006470566,11.179968014929237,2.587260910258114
115,2019-11-23,9.0,p_other,7.580255873992316,1.419744126007684,11.596865882450988,3.004158777779864
114,2019-12-08,9.0,p_other,8.088823290283262,0.911176709716738,12.105433298741934,3.51272619407081
113,2020-01-11,8.0,p_other,8.57320088666675,-0.5732008866667506,12.589810895125423,3.9971037904542985
112,2020-02-01,10.0,p_other,8.959967928932093,1.0400320710679072,12.976577937390765,4.383870832719641
111,2020-02-03,10.5,p_other,9.105871075601346,1.3941289243986539,13.122481084060018,4.529773979388894
110,2020-02-22,11.0,p_other,9.012476112468145,1.9875238875318555,13.029086120926817,4.436379016255692
109,2020-03-14,8.0,p_other,8.781584541829828,-0.7815845418298277,12.7981945502885,4.205487445617376
108,2020-04-03,6.0,p_other,8.466045267638156,-2.4660452676381563,12.482655276096828,3.8899481714257043
107,2020-04-25,7.0,p_other,8.184595958720514,-1.1845959587205144,12.201205967179186,3.6084988625080623
106,2020-04-26,9.0,p_other,7.95634688019116,1.0436531198088401,11.972956888649833,3.380249783978708
105,2020-05-16,9.0,p_other,7.758098434645545,1.2419015653544552,11.774708443104217,3.1820013384330927
104,2020-06-06,8.0,p_other,7.55274386265192,0.4472561373480799,11.569353871110593,2.976646766439468
103,2020-06-08,6.0,p_other,7.297837351664605,-1.2978373516646053,11.314447360123278,2.7217402554521533
102,2020-06-15,7.0,p_other,7.040868858249141,-0.04086885824914077,11.057478866707813,2.4647717620366887
100,2020-06-22,6.0,p_other,6.865696648837958,-0.8656966488379583,10.882306657296631,2.289599552625506
98,2020-06-29,6.0,p_other,6.839334579380165,-0.8393345793801652,10.855944587838838,2.263237483167713
97,2020-07-13,6.0,p_other,7.007538716826994,-1.0075387168269936,11.024148725285666,2.4314416206145415
96,2020-07-18,8.0,p_other,7.267226013306249,0.7327739866937506,11.283836021764921,2.6911289170937973
95,2020-07-19,9.5,p_other,7.508210606134513,1.9917893938654867,11.524820614593185,2.932113509922061
101,2020-07-21,8.5,p_other,7.740991838269525,0.7590081617304749,11.757601846728196,3.164894742057073
94,2020-07-26,6.0,p_other,7.798903755898501,-1.7989037558985013,11.815513764357174,3.222806659686049
99,2020-07-27,9.0,p_other,7.751784361054953,1.2482156389450472,11.768394369513626,3.1756872648425007
93,2020-08-08,9.0,p_other,7.610485494275627,1.3895145057243727,11.6270955027343,3.034388398063175
92,2020-08-10,5.0,p_other,7.492017808792702,-2.492017808792702,11.508627817251373,2.9159207125802498
91,2020-08-16,7.5,p_other,7.425666548090853,0.07433345190914675,11.442276556549526,2.849569451878401
90,2020-08-24,6.0,p_other,7.425055328215271,-1.4250553282152714,11.441665336673942,2.8489582320028193
89,2020-08-29,9.0,p_other,7.437211820795961,1.5627881792040386,11.453821829254633,2.8611147245835093
88,2020-09-07,9.0,p_other,7.403590145461408,1.5964098545385923,11.42020015392008,2.8274930492489556
87,2020-09-19,8.0,p_other,7.299740995650275,0.700259004349725,11.316351004108947,2.723643899437823
86,2020-09-21,5.0,p_other,7.064127583382179,-2.064127583382179,11.080737591840851,2.488030487169727
85,2020-10-05,6.0,p_other,6.850019872921419,-0.8500198729214192,10.866629881380092,2.273922776708967
84,2020-10-10,8.0,p_other,6.5912942192424175,1.4087057807575825,10.60790422770109,2.0151971230299655
83,2020-10-12,5.0,p_other,6.476142783228501,-1.476142783228501,10.492752791687174,1.900045687016049
82,2020-10-19,7.0,p_other,6.45105481634514,0.54894518365486,10.467664824803812,1.874957720132688
81,2020-11-02,5.0,p_other,6.508805174711324,-1.5088051747113242,10.525415183169997,1.9327080784988722
80,2020-11-07,8.0,p_other,6.6351667619866666,1.3648332380133334,10.651776770445338,2.0590696657742145
78,2020-11-16,6.0,p_other,6.799090528377266,-0.799090528377266,10.815700536835937,2.222993432164814
79,2020-11-22,8.0,p_other,6.966782499770302,1.0332175002296982,10.983392508228974,2.3906854035578498
77,2020-11-28,8.0,p_other,7.055474260441599,0.9445257395584008,11.072084268900271,2.479377164229147
76,2020-11-30,6.0,p_other,7.188779342902192,-1.1887793429021922,11.205389351360864,2.61268224668974
75,2020-12-14,7.0,p_other,7.270170212166632,-0.27017021216663206,11.286780220625303,2.69407311595418
74,2021-01-18,7.0,p_other,7.41534961301998,-0.41534961301997964,11.43195962147865,2.8392525168075275
73,2021-01-30,9.0,p_other,7.535407675273337,1.464592324726663,11.552017683732009,2.959310579060885
72,2021-02-01,7.0,p_other,7.696221289161179,-0.696221289161179,11.71283129761985,3.120124192948727
71,2021-02-14,9.0,p_other,7.83598051586005,1.16401948413995,11.852590524318721,3.259883419647598
70,2021-02-15,7.0,p_other,7.946966872996628,-0.9469668729966276,11.9635768814553,3.3708697767841755
69,2021-02-20,8.0,p_other,8.096199091345902,-0.09619909134590188,12.112809099804574,3.52010199513345
68,2021-03-01,8.0,p_other,8.21774081724094,-0.21774081724094074,12.234350825699613,3.6416437210284887
67,2021-03-13,9.0,p_other,8.337130778558498,0.6628692214415022,12.35374078701717,3.7610336823460457
66,2021-03-14,9.5,p_other,8.418781321798026,1.0812186782019744,12.435391330256698,3.8426842255855735
65,2021-03-15,8.0,p_other,8.429600474616965,-0.42960047461696504,12.446210483075637,3.853503378404513
64,2021-03-27,9.0,p_other,8.366895684174,0.6331043158259995,12.383505692632673,3.7907985879615484
63,2021-03-29,7.0,p_other,8.293391714590479,-1.293391714590479,12.310001723049151,3.717294618378027
62,2021-04-12,7.0,p_other,8.191815995486172,-1.1918159954861718,12.208426003944844,3.6157188992737197
61,2021-04-16,11.0,p_other,8.113085219553264,2.8869147804467357,12.129695228011936,3.5369881233408123
60,2021-04-24,8.0,p_other,8.0044739329656,-0.004473932965600724,12.021083941424273,3.4283768367531486
59,2021-04-26,6.0,p_other,8.033407874263848,-2.0334078742638475,12.05001788272252,3.4573107780513954
58,2021-05-10,6.0,p_other,8.158265812118346,-2.158265812118346,12.174875820577018,3.582168715905894
57,2021-05-15,9.0,p_other,8.285726103778169,0.7142738962218314,12.30233611223684,3.7096290075657166
56,2021-05-16,13.0,p_other,8.525192187532317,4.474807812467683,12.54180219599099,3.9490950913198652
55,2021-05-24,6.0,p_other,8.742846909692839,-2.7428469096928385,12.75945691815151,4.166749813480386
54,2021-06-05,9.0,p_other,8.853084372281215,0.1469156277187853,12.869694380739887,4.276987276068763
53,2021-06-06,10.0,p_other,8.908276193975967,1.0917238060240333,12.924886202434639,4.332179097763515
52,2021-06-07,7.0,p_other,8.78574597682129,-1.7857459768212909,12.802355985279963,4.209648880608839
51,2021-06-13,12.0,p_other,8.598752335244303,3.4012476647556973,12.615362343702975,4.022655239031851
49,2021-06-20,8.5,p_other,8.354035679933254,0.14596432006674576,12.370645688391926,3.777938583720802
50,2021-06-21,5.0,p_other,8.0434404792235,-3.0434404792235004,12.060050487682172,3.4673433830110483
48,2021-06-26,8.0,p_other,7.914027088804428,0.08597291119557227,11.9306370972631,3.3379299925919756
47,2021-07-05,5.0,p_other,7.986370337013338,-2.986370337013338,12.002980345472011,3.410273240800886
46,2021-07-17,9.0,p_other,8.147060011981972,0.8529399880180275,12.163670020440644,3.5709629157695204
45,2021-07-17,12.0,p_other,8.45450289403969,3.54549710596031,12.471112902498362,3.878405797827238
44,2021-07-18,9.5,p_other,8.742109987214564,0.7578900127854364,12.758719995673236,4.1660128910021115
43,2021-07-19,6.0,p_other,8.963976262046254,-2.9639762620462538,12.980586270504926,4.387879165833802
42,2021-08-01,10.5,p_other,9.219638717029245,1.2803612829707554,13.236248725487917,4.643541620816793
41,2021-08-07,8.0,p_other,9.478087918515403,-1.4780879185154028,13.494697926974075,4.901990822302951
40,2021-08-15,9.0,p_other,9.844220032331854,-0.8442200323318545,13.860830040790526,5.268122936119402
39,2021-08-21,14.0,p_other,10.261920772797861,3.738079227202139,14.278530781256533,5.685823676585409
38,2021-08-28,11.0,p_other,10.619994977827709,0.38000502217229126,14.63660498628638,6.043897881615257
37,2021-08-29,9.5,p_other,11.023137337760305,-1.5231373377603052,15.039747346218977,6.447040241547853
36,2021-09-12,10.0,p_other,11.380333082041037,-1.3803330820410373,15.39694309049971,6.804235985828585
35,2021-09-18,12.0,p_other,11.674945590210912,0.32505440978908773,15.691555598669584,7.09884849399846
34,2021-09-19,16.0,p_other,11.840279244098644,4.159720755901356,15.856889252557316,7.264182147886192
33,2021-09-26,12.0,p_other,11.862244463317603,0.1377555366823966,15.878854471776275,7.286147367105151
32,2021-10-02,13.0,p_other,11.762610577063276,1.2373894229367242,15.779220585521948,7.186513480850824
27,2021-10-07,6.0,p_other,11.625587332509241,-5.625587332509241,15.642197340967913,7.049490236296789
31,2021-10-10,12.0,p_other,11.592191597901259,0.40780840209874114,15.60880160635993,7.016094501688807
30,2021-10-23,13.0,p_other,11.722816646531646,1.277183353468354,15.739426654990318,7.146719550319194
29,2021-10-24,11.5,p_other,11.939981028300643,-0.4399810283006431,15.956591036759315,7.363883932088191
28,2021-11-07,14.0,p_other,12.21490921132064,1.7850907886793603,16.23151921977931,7.638812115108188
26,2021-11-13,12.0,p_other,12.383837476008862,-0.3838374760088623,16.400447484467534,7.80774037979641
25,2021-11-21,13.5,p_other,12.25818780927021,1.2418121907297905,16.27479781772888,7.682090713057757
24,2021-11-21,14.0,p_other,12.050135227689504,1.9498647723104963,16.066745236148176,7.474038131477052
23,2021-11-21,7.0,p_other,11.698639129562372,-4.6986391295623715,15.715249138021044,7.122542033349919
22,2021-12-04,13.0,p_other,11.054044415474989,1.9459555845250112,15.07065442393366,6.477947319262537
21,2021-12-05,13.5,p_other,10.35410334963626,3.14589665036374,14.370713358094932,5.778006253423808
20,2021-12-05,7.0,p_other,9.42887744886575,-2.42887744886575,13.445487457324422,4.852780352653298
18,2021-12-13,6.0,p_other,8.30778261116603,-2.3077826111660293,12.324392619624701,3.7316855149535773
19,2021-12-19,13.0,p_other,7.01566079988497,5.98433920011503,11.032270808343643,2.439563703672518
16,2022-01-16,0.5,p_other,5.6461017784328185,-5.1461017784328185,9.66271178689149,1.0700046822203664
14,2022-01-30,2.0,p_other,4.475073451299383,-2.475073451299383,8.491683459758054,-0.10102364491306925
12,2022-02-06,2.0,p_other,3.5689644158128107,-1.5689644158128107,7.585574424271483,-1.0071326803996414
10,2022-02-13,1.5,p_other,2.9227526084839175,-1.4227526084839175,6.9393626169425895,-1.6533444877285346
