,end_date,value,variable,smooth,noise,ci_top,ci_bot
28,2022-01-16,1,p_uap,1.7779590056594645,-0.7779590056594645,3.752700857125319,-0.6592758897110098
26,2022-01-30,2,p_uap,1.918220764206289,0.08177923579371105,3.8929626156721433,-0.5190141311641854
24,2022-02-06,2,p_uap,2.128718852746593,-0.128718852746593,4.103460704212448,-0.3085160426238813
22,2022-02-13,2,p_uap,2.30759962127257,-0.30759962127257,4.282341472738424,-0.12963527409790432
21,2022-02-20,3,p_uap,2.507989672787354,0.4920103272126459,4.482731524253208,0.07075477741687974
20,2022-02-20,4,p_uap,2.654229101141464,1.345770898858536,4.628970952607318,0.2169942057709897
19,2022-02-23,2,p_uap,2.7014798989835396,-0.7014798989835396,4.676221750449394,0.26424500361306524
18,2022-02-26,4,p_uap,2.686176884331074,1.3138231156689262,4.660918735796928,0.2489419889605995
17,2022-03-03,1,p_uap,2.5790654165111255,-1.5790654165111255,4.55380726797698,0.1418305211406512
16,2022-03-06,3,p_uap,2.38873346447767,0.6112665355223301,4.363475315943524,-0.048501430892804454
15,2022-03-12,3,p_uap,2.1858388473420334,0.8141611526579666,4.1605806988078875,-0.25139604802844095
14,2022-03-13,1,p_uap,1.9972498784739903,-0.9972498784739903,3.9719917299398446,-0.43998501689648406
13,2022-03-20,1,p_uap,1.8452929289972309,-0.8452929289972309,3.820034780463085,-0.5919419663732435
12,2022-03-20,2,p_uap,1.7872831180318343,0.21271688196816574,3.7620249694976886,-0.6499517773386401
11,2022-03-27,1,p_uap,1.8131587180333495,-0.8131587180333495,3.787900569499204,-0.6240761773371248
10,2022-04-02,2,p_uap,1.9515112510812642,0.04848874891873578,3.9262531025471183,-0.4857236442892101
9,2022-04-02,3,p_uap,2.101150384909404,0.898849615090596,4.0758922363752585,-0.33608451046107035
8,2022-04-03,3,p_uap,2.2900817958888897,0.7099182041111103,4.264823647354744,-0.14715309948158461
7,2022-04-03,1,p_uap,2.4868005286075188,-1.4868005286075188,4.461542380073373,0.04956563323704444
6,2022-04-03,3,p_uap,2.6611319271405525,0.33886807285944753,4.635873778606407,0.22389703177007814
5,2022-04-09,4,p_uap,2.838203675223871,1.161796324776129,4.812945526689726,0.40096877985339674
4,2022-04-10,2,p_uap,2.9932466991393345,-0.9932466991393345,4.967988550605189,0.5560118037688602
3,2022-04-16,4,p_uap,3.1258166401513576,0.8741833598486424,5.100558491617212,0.6885817447808833
2,2022-04-17,4,p_uap,3.2179348739488187,0.7820651260511813,5.192676725414673,0.7806999785783444
1,2022-04-17,2,p_uap,3.2619532828983093,-1.2619532828983093,5.2366951343641635,0.824718387527835
0,2022-04-19,4,p_uap,3.313380131881206,0.686619868118794,5.28812198334706,0.8761452365107316
