,end_date,variable,value
0,2019-07-28,p_lnp,44
1,2019-08-18,p_lnp,42
2,2019-09-07,p_lnp,43
3,2019-09-29,p_lnp,42
4,2019-10-20,p_lnp,42
5,2019-11-10,p_lnp,40
6,2019-11-23,p_lnp,41
7,2019-12-08,p_lnp,42
8,2020-01-11,p_lnp,40
9,2020-02-01,p_lnp,38
10,2020-02-03,p_lnp,34.80
11,2020-02-22,p_lnp,38
12,2020-03-14,p_lnp,40
13,2020-04-03,p_lnp,42
14,2020-04-25,p_lnp,41
15,2020-04-26,p_lnp,43.50
16,2020-05-16,p_lnp,43
17,2020-06-06,p_lnp,42
18,2020-06-08,p_lnp,40
19,2020-06-15,p_lnp,38
20,2020-06-22,p_lnp,39
21,2020-06-29,p_lnp,39
22,2020-07-13,p_lnp,37
23,2020-07-18,p_lnp,44
24,2020-07-19,p_lnp,44
25,2020-07-21,p_lnp,42.50
26,2020-07-26,p_lnp,38
27,2020-07-27,p_lnp,42
28,2020-08-08,p_lnp,43
29,2020-08-10,p_lnp,38
30,2020-08-16,p_lnp,46
31,2020-08-24,p_lnp,39
32,2020-08-29,p_lnp,41
33,2020-09-07,p_lnp,38
34,2020-09-19,p_lnp,43
35,2020-09-21,p_lnp,41
36,2020-10-05,p_lnp,39
37,2020-10-10,p_lnp,44
38,2020-10-12,p_lnp,40
39,2020-10-19,p_lnp,39
40,2020-11-02,p_lnp,39
41,2020-11-07,p_lnp,43
42,2020-11-16,p_lnp,38
43,2020-11-22,p_lnp,42
44,2020-11-28,p_lnp,43
45,2020-11-30,p_lnp,41
46,2020-12-14,p_lnp,37
47,2021-01-18,p_lnp,40
48,2021-01-30,p_lnp,42
49,2021-02-01,p_lnp,37
50,2021-02-14,p_lnp,40
51,2021-02-15,p_lnp,39
52,2021-02-20,p_lnp,42
53,2021-03-01,p_lnp,37
54,2021-03-13,p_lnp,39
55,2021-03-14,p_lnp,41
56,2021-03-15,p_lnp,38
57,2021-03-27,p_lnp,40
58,2021-03-29,p_lnp,39
59,2021-04-12,p_lnp,37
60,2021-04-16,p_lnp,38
61,2021-04-24,p_lnp,41
62,2021-04-26,p_lnp,39
63,2021-05-10,p_lnp,38
64,2021-05-15,p_lnp,41
65,2021-05-16,p_lnp,39
66,2021-05-24,p_lnp,37
67,2021-06-05,p_lnp,41
68,2021-06-06,p_lnp,40
69,2021-06-07,p_lnp,38
70,2021-06-13,p_lnp,40
71,2021-06-20,p_lnp,42
72,2021-06-21,p_lnp,38
73,2021-06-26,p_lnp,41
74,2021-07-05,p_lnp,37
75,2021-07-17,p_lnp,38
76,2021-07-17,p_lnp,39
77,2021-07-18,p_lnp,39
78,2021-07-19,p_lnp,37
79,2021-08-01,p_lnp,37
80,2021-08-07,p_lnp,39
81,2021-08-15,p_lnp,38
82,2021-08-21,p_lnp,40
83,2021-08-28,p_lnp,36
84,2021-08-29,p_lnp,38
85,2021-09-12,p_lnp,40
86,2021-09-18,p_lnp,37
87,2021-09-19,p_lnp,39
88,2021-09-26,p_lnp,36
89,2021-10-02,p_lnp,37
90,2021-10-07,p_lnp,35
91,2021-10-10,p_lnp,38
92,2021-10-23,p_lnp,35
93,2021-10-24,p_lnp,37
94,2021-11-07,p_lnp,37
95,2021-11-13,p_lnp,37
96,2021-11-21,p_lnp,39
97,2021-11-21,p_lnp,36
98,2021-11-21,p_lnp,36
99,2021-12-04,p_lnp,36
100,2021-12-05,p_lnp,35
101,2021-12-05,p_lnp,38
102,2021-12-13,p_lnp,36
103,2021-12-19,p_lnp,35
104,2022-01-15,p_lnp,34
105,2022-01-16,p_lnp,35
106,2022-01-23,p_lnp,36
107,2022-01-30,p_lnp,33
108,2022-01-30,p_lnp,34
109,2022-02-06,p_lnp,37
110,2022-02-12,p_lnp,34
111,2022-02-13,p_lnp,33
112,2022-02-20,p_lnp,35
113,2022-02-20,p_lnp,33
114,2022-02-23,p_lnp,33
115,2022-02-26,p_lnp,35
116,2022-03-03,p_lnp,34
117,2022-03-06,p_lnp,36
118,2022-03-12,p_lnp,35
119,2022-03-13,p_lnp,34
120,2022-03-20,p_lnp,31
121,2022-03-20,p_lnp,37
122,2022-03-27,p_lnp,33
123,2022-04-02,p_lnp,31
124,2022-04-02,p_lnp,37
125,2022-04-03,p_lnp,36
126,2022-04-03,p_lnp,33
127,2022-04-03,p_lnp,34
128,2022-04-09,p_lnp,36
129,2022-04-10,p_lnp,33
130,2022-04-16,p_lnp,35
131,2022-04-17,p_lnp,35
132,2022-04-17,p_lnp,36
133,2022-04-20,p_lnp,37
134,2022-04-23,p_lnp,32
135,2022-04-23,p_lnp,36
136,2022-04-24,p_lnp,35.50
137,2022-04-30,p_lnp,33
138,2022-04-30,p_lnp,36
139,2022-04-30,p_lnp,36
140,2022-05-01,p_lnp,35
141,2022-05-07,p_lnp,29
142,2022-05-07,p_lnp,35
143,2022-05-08,p_lnp,34
144,2022-05-13,p_lnp,35
145,2022-05-15,p_lnp,34
146,2022-05-16,p_lnp,36
147,2022-05-17,p_lnp,34
148,2022-05-18,p_lnp,35
149,2019-07-28,p_alp,33
150,2019-08-18,p_alp,34
151,2019-09-07,p_alp,35
152,2019-09-29,p_alp,33
153,2019-10-20,p_alp,33
154,2019-11-10,p_alp,35
155,2019-11-23,p_alp,33
156,2019-12-08,p_alp,33
157,2020-01-11,p_alp,36
158,2020-02-01,p_alp,35
159,2020-02-03,p_alp,33.40
160,2020-02-22,p_alp,34
161,2020-03-14,p_alp,36
162,2020-04-03,p_alp,34
163,2020-04-25,p_alp,36
164,2020-04-26,p_alp,33
165,2020-05-16,p_alp,35
166,2020-06-06,p_alp,34
167,2020-06-08,p_alp,33
168,2020-06-15,p_alp,35
169,2020-06-22,p_alp,33
170,2020-06-29,p_alp,33
171,2020-07-13,p_alp,34
172,2020-07-18,p_alp,34
173,2020-07-19,p_alp,34
174,2020-07-21,p_alp,34.50
175,2020-07-26,p_alp,35
176,2020-07-27,p_alp,35
177,2020-08-08,p_alp,33
178,2020-08-10,p_alp,34
179,2020-08-16,p_alp,33
180,2020-08-24,p_alp,35
181,2020-08-29,p_alp,36
182,2020-09-07,p_alp,32
183,2020-09-19,p_alp,34
184,2020-09-21,p_alp,31
185,2020-10-05,p_alp,34
186,2020-10-10,p_alp,34
187,2020-10-12,p_alp,33
188,2020-10-19,p_alp,35
189,2020-11-02,p_alp,35
190,2020-11-07,p_alp,35
191,2020-11-16,p_alp,35
192,2020-11-22,p_alp,34
193,2020-11-28,p_alp,36
194,2020-11-30,p_alp,33
195,2020-12-14,p_alp,35
196,2021-01-18,p_alp,33
197,2021-01-30,p_alp,36
198,2021-02-01,p_alp,35
199,2021-02-14,p_alp,35
200,2021-02-15,p_alp,35
201,2021-02-20,p_alp,37
202,2021-03-01,p_alp,34
203,2021-03-13,p_alp,39
204,2021-03-14,p_alp,35
205,2021-03-15,p_alp,34
206,2021-03-27,p_alp,38
207,2021-03-29,p_alp,36
208,2021-04-12,p_alp,36
209,2021-04-16,p_alp,33
210,2021-04-24,p_alp,38
211,2021-04-26,p_alp,34
212,2021-05-10,p_alp,36
213,2021-05-15,p_alp,36
214,2021-05-16,p_alp,35
215,2021-05-24,p_alp,35
216,2021-06-05,p_alp,36
217,2021-06-06,p_alp,36
218,2021-06-07,p_alp,35
219,2021-06-13,p_alp,36
220,2021-06-20,p_alp,35
221,2021-06-21,p_alp,36
222,2021-06-26,p_alp,37
223,2021-07-05,p_alp,36
224,2021-07-17,p_alp,35
225,2021-07-17,p_alp,39
226,2021-07-18,p_alp,37
227,2021-07-19,p_alp,36
228,2021-08-01,p_alp,37
229,2021-08-07,p_alp,39
230,2021-08-15,p_alp,38
231,2021-08-21,p_alp,32
232,2021-08-28,p_alp,40
233,2021-08-29,p_alp,39
234,2021-09-12,p_alp,35
235,2021-09-18,p_alp,38
236,2021-09-19,p_alp,31
237,2021-09-26,p_alp,36
238,2021-10-02,p_alp,37
239,2021-10-07,p_alp,37
240,2021-10-10,p_alp,36
241,2021-10-23,p_alp,38
242,2021-10-24,p_alp,35
243,2021-11-07,p_alp,35
244,2021-11-13,p_alp,38
245,2021-11-21,p_alp,32
246,2021-11-21,p_alp,37
247,2021-11-21,p_alp,36
248,2021-12-04,p_alp,38
249,2021-12-05,p_alp,36
250,2021-12-05,p_alp,35
251,2021-12-13,p_alp,36
252,2021-12-19,p_alp,37
253,2022-01-15,p_alp,35
254,2022-01-16,p_alp,37
255,2022-01-23,p_alp,37
256,2022-01-30,p_alp,38
257,2022-01-30,p_alp,41
258,2022-02-06,p_alp,35
259,2022-02-12,p_alp,41
260,2022-02-13,p_alp,39
261,2022-02-20,p_alp,38
262,2022-02-20,p_alp,35
263,2022-02-23,p_alp,38
264,2022-02-26,p_alp,41
265,2022-03-03,p_alp,38
266,2022-03-06,p_alp,35
267,2022-03-12,p_alp,41
268,2022-03-13,p_alp,37
269,2022-03-20,p_alp,38
270,2022-03-20,p_alp,37
271,2022-03-27,p_alp,36
272,2022-04-02,p_alp,35
273,2022-04-02,p_alp,36
274,2022-04-03,p_alp,38
275,2022-04-03,p_alp,40
276,2022-04-03,p_alp,38
277,2022-04-09,p_alp,37
278,2022-04-10,p_alp,36
279,2022-04-16,p_alp,34
280,2022-04-17,p_alp,36
281,2022-04-17,p_alp,35
282,2022-04-20,p_alp,35
283,2022-04-23,p_alp,34
284,2022-04-23,p_alp,37
285,2022-04-24,p_alp,35
286,2022-04-30,p_alp,34
287,2022-04-30,p_alp,38
288,2022-04-30,p_alp,35
289,2022-05-01,p_alp,35
