,end_date,variable,value
0,2019-06-23,sm_sat,48.00
1,2019-07-21,sm_sat,48.00
2,2019-07-28,sm_sat,51.00
3,2019-08-18,sm_sat,48.00
4,2019-08-22,sm_sat,48.00
6,2019-09-07,sm_sat,49.00
7,2019-09-17,sm_sat,49.00
8,2019-09-29,sm_sat,47.00
9,2019-10-15,sm_sat,47.00
10,2019-10-20,sm_sat,47.00
11,2019-11-10,sm_sat,46.00
12,2019-11-12,sm_sat,45.00
13,2019-11-23,sm_sat,43.00
14,2019-12-08,sm_sat,45.00
15,2019-12-08,sm_sat,45.00
16,2020-01-11,sm_sat,40.00
17,2020-01-11,sm_sat,37.00
18,2020-02-01,sm_sat,37.00
19,2020-02-11,sm_sat,39.00
20,2020-02-22,sm_sat,38.00
21,2020-03-11,sm_sat,41.00
22,2020-03-14,sm_sat,41.00
23,2020-04-03,sm_sat,61.00
24,2020-04-05,sm_sat,59.00
25,2020-04-25,sm_sat,68.00
26,2020-05-05,sm_sat,64.00
27,2020-05-16,sm_sat,66.00
28,2020-06-02,sm_sat,65.00
29,2020-06-06,sm_sat,66.00
30,2020-06-27,sm_sat,68.00
31,2020-07-12,sm_sat,63.00
32,2020-07-18,sm_sat,68.00
33,2020-08-08,sm_sat,68.00
34,2020-08-09,sm_sat,66.00
35,2020-08-29,sm_sat,64.00
36,2020-09-19,sm_sat,65.00
37,2020-10-10,sm_sat,65.00
38,2020-10-23,sm_sat,46.00
39,2020-11-06,sm_sat,64.00
40,2020-11-28,sm_sat,66.00
41,2020-12-01,sm_sat,62.00
42,2021-01-30,sm_sat,63.00
43,2021-02-20,sm_sat,64.00
44,2021-03-13,sm_sat,62.00
45,2021-03-27,sm_sat,55.00
46,2021-03-30,sm_sat,57.00
47,2021-04-12,sm_sat,54.00
49,2021-04-24,sm_sat,59.00
50,2021-05-15,sm_sat,58.00
52,2021-06-05,sm_sat,54.00
53,2021-06-08,sm_sat,57.00
54,2021-06-13,sm_sat,48.00
55,2021-06-26,sm_sat,55.00
56,2021-07-06,sm_sat,51.00
57,2021-07-17,sm_sat,51.00
58,2021-07-17,sm_sat,45.00
59,2021-08-07,sm_sat,47.00
60,2021-08-28,sm_sat,49.00
61,2021-09-18,sm_sat,46.00
62,2021-10-02,sm_sat,48.00
63,2019-06-23,sm_dissat,36.00
64,2019-07-21,sm_dissat,34.00
65,2019-07-28,sm_dissat,36.00
66,2019-08-18,sm_dissat,42.00
67,2019-08-22,sm_dissat,37.00
69,2019-09-07,sm_dissat,39.00
70,2019-09-17,sm_dissat,36.00
71,2019-09-29,sm_dissat,43.00
72,2019-10-15,sm_dissat,38.00
73,2019-10-20,sm_dissat,45.00
74,2019-11-10,sm_dissat,43.00
75,2019-11-12,sm_dissat,41.00
76,2019-11-23,sm_dissat,52.00
77,2019-12-08,sm_dissat,48.00
78,2019-12-08,sm_dissat,43.00
79,2020-01-11,sm_dissat,52.00
80,2020-01-11,sm_dissat,59.00
81,2020-02-01,sm_dissat,59.00
82,2020-02-11,sm_dissat,52.00
83,2020-02-22,sm_dissat,58.00
84,2020-03-11,sm_dissat,49.00
85,2020-03-14,sm_dissat,53.00
86,2020-04-03,sm_dissat,35.00
87,2020-04-05,sm_dissat,31.00
88,2020-04-25,sm_dissat,28.00
89,2020-05-05,sm_dissat,27.00
90,2020-05-16,sm_dissat,30.00
91,2020-06-02,sm_dissat,26.00
92,2020-06-06,sm_dissat,29.00
93,2020-06-27,sm_dissat,27.00
94,2020-07-12,sm_dissat,27.00
95,2020-07-18,sm_dissat,27.00
96,2020-08-08,sm_dissat,29.00
97,2020-08-09,sm_dissat,23.00
98,2020-08-29,sm_dissat,32.00
99,2020-09-19,sm_dissat,31.00
100,2020-10-10,sm_dissat,31.00
101,2020-10-23,sm_dissat,50.00
102,2020-11-06,sm_dissat,31.00
103,2020-11-28,sm_dissat,30.00
104,2020-12-01,sm_dissat,28.00
105,2021-01-30,sm_dissat,33.00
106,2021-02-20,sm_dissat,32.00
107,2021-03-13,sm_dissat,34.00
108,2021-03-27,sm_dissat,40.00
109,2021-03-30,sm_dissat,35.00
110,2021-04-12,sm_dissat,37.00
112,2021-04-24,sm_dissat,37.00
113,2021-05-15,sm_dissat,38.00
115,2021-06-05,sm_dissat,43.00
116,2021-06-08,sm_dissat,36.00
117,2021-06-13,sm_dissat,41.00
118,2021-06-26,sm_dissat,41.00
119,2021-07-06,sm_dissat,40.00
120,2021-07-17,sm_dissat,45.00
121,2021-07-17,sm_dissat,46.00
122,2021-08-07,sm_dissat,49.00
123,2021-08-28,sm_dissat,47.00
124,2021-09-18,sm_dissat,50.00
125,2021-10-02,sm_dissat,49.00
