,end_date,variable,value
0,2019-07-28,tpp_lnp,53.00
1,2019-08-18,tpp_lnp,51.00
2,2019-09-07,tpp_lnp,51.00
3,2019-09-29,tpp_lnp,51.00
4,2019-10-20,tpp_lnp,51.00
5,2019-11-10,tpp_lnp,50.00
6,2019-11-23,tpp_lnp,51.00
7,2019-12-08,tpp_lnp,52.00
8,2020-01-11,tpp_lnp,49.00
9,2020-02-01,tpp_lnp,48.00
11,2020-02-22,tpp_lnp,49.00
12,2020-03-14,tpp_lnp,49.00
13,2020-04-03,tpp_lnp,51.00
14,2020-04-25,tpp_lnp,50.00
15,2020-04-26,tpp_lnp,51.50
16,2020-05-16,tpp_lnp,51.00
17,2020-06-06,tpp_lnp,51.00
18,2020-06-08,tpp_lnp,47.00
19,2020-06-15,tpp_lnp,47.00
20,2020-06-22,tpp_lnp,48.00
21,2020-06-29,tpp_lnp,47
22,2020-07-13,tpp_lnp,45
23,2020-07-18,tpp_lnp,53
24,2020-07-19,tpp_lnp,52
25,2020-07-21,tpp_lnp,50.50
26,2020-07-26,tpp_lnp,45
27,2020-07-27,tpp_lnp,51.00
28,2020-08-08,tpp_lnp,52
29,2020-08-10,tpp_lnp,46
30,2020-08-16,tpp_lnp,54
31,2020-08-24,tpp_lnp,47
32,2020-08-29,tpp_lnp,50
33,2020-09-07,tpp_lnp,45
34,2020-09-19,tpp_lnp,51
35,2020-09-21,tpp_lnp,49
36,2020-10-05,tpp_lnp,47
37,2020-10-10,tpp_lnp,52
38,2020-10-12,tpp_lnp,47
39,2020-10-19,tpp_lnp,48
40,2020-11-02,tpp_lnp,44
41,2020-11-07,tpp_lnp,51
42,2020-11-16,tpp_lnp,45
43,2020-11-22,tpp_lnp,51
44,2020-11-28,tpp_lnp,51
45,2020-11-30,tpp_lnp,49
46,2020-12-14,tpp_lnp,45
47,2021-01-18,tpp_lnp,48
48,2021-01-30,tpp_lnp,50
49,2021-02-01,tpp_lnp,44
50,2021-02-14,tpp_lnp,50
51,2021-02-15,tpp_lnp,47
52,2021-02-20,tpp_lnp,50
53,2021-03-01,tpp_lnp,45
54,2021-03-13,tpp_lnp,48
55,2021-03-14,tpp_lnp,50
56,2021-03-15,tpp_lnp,47
57,2021-03-27,tpp_lnp,48
58,2021-03-29,tpp_lnp,46
59,2021-04-12,tpp_lnp,45
61,2021-04-24,tpp_lnp,49
62,2021-04-26,tpp_lnp,46
63,2021-05-10,tpp_lnp,44
64,2021-05-15,tpp_lnp,49
66,2021-05-24,tpp_lnp,44
67,2021-06-05,tpp_lnp,50
68,2021-06-06,tpp_lnp,49
69,2021-06-07,tpp_lnp,44
71,2021-06-20,tpp_lnp,50
72,2021-06-21,tpp_lnp,45
73,2021-06-26,tpp_lnp,49
74,2021-07-05,tpp_lnp,44
75,2021-07-17,tpp_lnp,47
77,2021-07-18,tpp_lnp,48
78,2021-07-19,tpp_lnp,45
79,2021-08-01,tpp_lnp,47
80,2021-08-07,tpp_lnp,47
81,2021-08-15,tpp_lnp,46
83,2021-08-28,tpp_lnp,46
84,2021-08-29,tpp_lnp,46
85,2021-09-12,tpp_lnp,48
86,2021-09-18,tpp_lnp,47
88,2021-09-26,tpp_lnp,46
89,2021-10-02,tpp_lnp,47
90,2021-10-07,tpp_lnp,44
91,2021-10-10,tpp_lnp,47
92,2021-10-23,tpp_lnp,46
93,2021-10-24,tpp_lnp,46
94,2021-11-07,tpp_lnp,47
95,2021-11-13,tpp_lnp,47
96,2021-11-21,tpp_lnp,45
98,2021-11-21,tpp_lnp,45
99,2021-12-04,tpp_lnp,47
100,2021-12-05,tpp_lnp,45
101,2021-12-05,tpp_lnp,44
102,2021-12-13,tpp_lnp,45
103,2021-12-19,tpp_lnp,45
105,2022-01-16,tpp_lnp,44
106,2022-01-23,tpp_lnp,43
107,2022-01-30,tpp_lnp,44
108,2022-01-30,tpp_lnp,44
109,2022-02-06,tpp_lnp,46
110,2022-02-12,tpp_lnp,45
111,2022-02-13,tpp_lnp,43
112,2022-02-20,tpp_lnp,45
114,2022-02-23,tpp_lnp,44
115,2022-02-26,tpp_lnp,45
116,2022-03-03,tpp_lnp,44
117,2022-03-06,tpp_lnp,44
118,2022-03-12,tpp_lnp,45
119,2022-03-13,tpp_lnp,44
120,2022-03-20,tpp_lnp,42
121,2022-03-20,tpp_lnp,44
122,2022-03-27,tpp_lnp,45
123,2022-04-02,tpp_lnp,42
124,2022-04-02,tpp_lnp,45
125,2022-04-03,tpp_lnp,46
126,2022-04-03,tpp_lnp,43
128,2022-04-09,tpp_lnp,47
129,2022-04-10,tpp_lnp,43
131,2022-04-17,tpp_lnp,47
132,2022-04-17,tpp_lnp,45
133,2022-04-19,tpp_lnp,46
134,2019-07-28,tpp_alp,47.00
135,2019-08-18,tpp_alp,49.00
136,2019-09-07,tpp_alp,49.00
137,2019-09-29,tpp_alp,49.00
138,2019-10-20,tpp_alp,49.00
139,2019-11-10,tpp_alp,50.00
140,2019-11-23,tpp_alp,49.00
141,2019-12-08,tpp_alp,48.00
142,2020-01-11,tpp_alp,51.00
143,2020-02-01,tpp_alp,52.00
145,2020-02-22,tpp_alp,51.00
146,2020-03-14,tpp_alp,51.00
147,2020-04-03,tpp_alp,49.00
148,2020-04-25,tpp_alp,50.00
149,2020-04-26,tpp_alp,48.50
150,2020-05-16,tpp_alp,49.00
151,2020-06-06,tpp_alp,49.00
152,2020-06-08,tpp_alp,45.00
153,2020-06-15,tpp_alp,47.00
154,2020-06-22,tpp_alp,46.00
155,2020-06-29,tpp_alp,45
156,2020-07-13,tpp_alp,46
157,2020-07-18,tpp_alp,47
158,2020-07-19,tpp_alp,49
159,2020-07-21,tpp_alp,49.50
160,2020-07-26,tpp_alp,47
161,2020-07-27,tpp_alp,49.00
162,2020-08-08,tpp_alp,48
163,2020-08-10,tpp_alp,44
164,2020-08-16,tpp_alp,46
165,2020-08-24,tpp_alp,45
166,2020-08-29,tpp_alp,50
167,2020-09-07,tpp_alp,47
168,2020-09-19,tpp_alp,49
169,2020-09-21,tpp_alp,42
170,2020-10-05,tpp_alp,46
171,2020-10-10,tpp_alp,48
172,2020-10-12,tpp_alp,44
173,2020-10-19,tpp_alp,45
174,2020-11-02,tpp_alp,46
175,2020-11-07,tpp_alp,49
176,2020-11-16,tpp_alp,47
177,2020-11-22,tpp_alp,50
178,2020-11-28,tpp_alp,49
179,2020-11-30,tpp_alp,43
180,2020-12-14,tpp_alp,46
181,2021-01-18,tpp_alp,45
182,2021-01-30,tpp_alp,50
183,2021-02-01,tpp_alp,47
184,2021-02-14,tpp_alp,51
185,2021-02-15,tpp_alp,47
186,2021-02-20,tpp_alp,50
187,2021-03-01,tpp_alp,48
188,2021-03-13,tpp_alp,52
189,2021-03-14,tpp_alp,51
190,2021-03-15,tpp_alp,47
191,2021-03-27,tpp_alp,52
192,2021-03-29,tpp_alp,47
193,2021-04-12,tpp_alp,48
195,2021-04-24,tpp_alp,51
196,2021-04-26,tpp_alp,46
197,2021-05-10,tpp_alp,48
198,2021-05-15,tpp_alp,51
200,2021-05-24,tpp_alp,48
201,2021-06-05,tpp_alp,50
202,2021-06-06,tpp_alp,51
203,2021-06-07,tpp_alp,48
205,2021-06-20,tpp_alp,51
206,2021-06-21,tpp_alp,47
207,2021-06-26,tpp_alp,51
208,2021-07-05,tpp_alp,48
209,2021-07-17,tpp_alp,53
211,2021-07-18,tpp_alp,53
212,2021-07-19,tpp_alp,47
213,2021-08-01,tpp_alp,54
214,2021-08-07,tpp_alp,53
215,2021-08-15,tpp_alp,54
217,2021-08-28,tpp_alp,54
218,2021-08-29,tpp_alp,55
219,2021-09-12,tpp_alp,53
220,2021-09-18,tpp_alp,53
222,2021-09-26,tpp_alp,54
223,2021-10-02,tpp_alp,53
224,2021-10-07,tpp_alp,46
225,2021-10-10,tpp_alp,53
226,2021-10-23,tpp_alp,54
227,2021-10-24,tpp_alp,54
228,2021-11-07,tpp_alp,54
229,2021-11-13,tpp_alp,53
230,2021-11-21,tpp_alp,56
232,2021-11-21,tpp_alp,48
233,2021-12-04,tpp_alp,53
234,2021-12-05,tpp_alp,48
235,2021-12-05,tpp_alp,57
236,2021-12-13,tpp_alp,47
237,2021-12-19,tpp_alp,56
239,2022-01-16,tpp_alp,56
240,2022-01-23,tpp_alp,50
241,2022-01-30,tpp_alp,57
242,2022-01-30,tpp_alp,56
243,2022-02-06,tpp_alp,47
244,2022-02-12,tpp_alp,55
245,2022-02-13,tpp_alp,57
246,2022-02-20,tpp_alp,49
248,2022-02-23,tpp_alp,57
249,2022-02-26,tpp_alp,55
250,2022-03-03,tpp_alp,57
251,2022-03-06,tpp_alp,49
252,2022-03-12,tpp_alp,55
253,2022-03-13,tpp_alp,56
254,2022-03-20,tpp_alp,58
255,2022-03-20,tpp_alp,48
256,2022-03-27,tpp_alp,56
257,2022-04-02,tpp_alp,51
258,2022-04-02,tpp_alp,50
259,2022-04-03,tpp_alp,54
260,2022-04-03,tpp_alp,57
262,2022-04-09,tpp_alp,53
263,2022-04-10,tpp_alp,57
265,2022-04-17,tpp_alp,53
266,2022-04-17,tpp_alp,55
267,2022-04-19,tpp_alp,47
