,end_date,value,variable,smooth,noise,ci_top,ci_bot
148,2019-07-28,53.0,tpp_lnp,51.62549286901174,1.3745071309882633,55.74257660910601,47.59095829981654
147,2019-08-18,51.0,tpp_lnp,51.45340613030076,-0.45340613030076327,55.570489870395036,47.41887156110557
146,2019-09-07,51.0,tpp_lnp,51.29250548148895,-0.29250548148895206,55.409589221583225,47.25797091229376
145,2019-09-29,51.0,tpp_lnp,51.11005530863355,-0.11005530863354807,55.22713904872782,47.07552073943835
144,2019-10-20,51.0,tpp_lnp,50.94115141162389,0.05884858837610807,55.058235151718165,46.9066168424287
143,2019-11-10,50.0,tpp_lnp,50.76654149744227,-0.7665414974422688,54.88362523753654,46.732006928247074
142,2019-11-23,51.0,tpp_lnp,50.55085805426711,0.44914194573289024,54.66794179436138,46.516323485071915
141,2019-12-08,52.0,tpp_lnp,50.275315538267016,1.7246844617329842,54.39239927836129,46.24078096907182
140,2020-01-11,49.0,tpp_lnp,49.98682936120222,-0.9868293612022185,54.10391310129649,45.952294792007024
139,2020-02-01,48.0,tpp_lnp,49.76728706028963,-1.7672870602896324,53.884370800383905,45.73275249109444
137,2020-02-22,49.0,tpp_lnp,49.65585821501081,-0.6558582150108094,53.77294195510508,45.621323645815615
136,2020-03-14,49.0,tpp_lnp,49.700630279055865,-0.700630279055865,53.81771401915014,45.66609570986067
135,2020-04-03,51.0,tpp_lnp,49.859651457520805,1.1403485424791953,53.97673519761508,45.82511688832561
134,2020-04-25,50.0,tpp_lnp,50.05996381113958,-0.059963811139581935,54.177047551233855,46.02542924194439
133,2020-04-26,51.5,tpp_lnp,50.1252107602091,1.3747892397908998,54.24229450030337,46.090676191013905
132,2020-05-16,51.0,tpp_lnp,49.97159745935058,1.0284025406494166,54.088681199444856,45.93706289015539
131,2020-06-06,51.0,tpp_lnp,49.575329328716975,1.4246706712830246,53.69241306881125,45.54079475952178
130,2020-06-08,47.0,tpp_lnp,49.09522282302227,-2.0952228230222687,53.21230656311654,45.060688253827074
129,2020-06-15,47.0,tpp_lnp,48.59427277402388,-1.594272774023878,52.71135651411815,44.55973820482868
127,2020-06-22,48.0,tpp_lnp,48.27161286059687,-0.27161286059686773,52.38869660069114,44.23707829140167
125,2020-06-29,47.0,tpp_lnp,48.23248189438072,-1.2324818943807188,52.34956563447499,44.197947325185524
124,2020-07-13,45.0,tpp_lnp,48.51502836120752,-3.51502836120752,52.63211210130179,44.480493792012325
123,2020-07-18,53.0,tpp_lnp,48.908723220316105,4.091276779683895,53.02580696041038,44.87418865112091
122,2020-07-19,52.0,tpp_lnp,49.2052526654957,2.794747334504301,53.32233640558997,45.170718096300504
128,2020-07-21,50.5,tpp_lnp,49.528577474850344,0.9714225251496558,53.64566121494462,45.49404290565515
121,2020-07-26,45.0,tpp_lnp,49.625867610334964,-4.625867610334964,53.74295135042924,45.59133304113977
126,2020-07-27,51.0,tpp_lnp,49.65861624257935,1.341383757420651,53.77569998267362,45.624081673384154
120,2020-08-08,52.0,tpp_lnp,49.56939030082293,2.4306096991770687,53.686474040917204,45.53485573162774
119,2020-08-10,46.0,tpp_lnp,49.573938865418555,-3.5739388654185547,53.69102260551283,45.53940429622336
118,2020-08-16,54.0,tpp_lnp,49.432669935240206,4.567330064759794,53.54975367533448,45.39813536604501
117,2020-08-24,47.0,tpp_lnp,49.232509381933305,-2.232509381933305,53.34959312202758,45.19797481273811
116,2020-08-29,50.0,tpp_lnp,49.03673282827306,0.9632671717269403,53.15381656836733,45.002198259077865
115,2020-09-07,45.0,tpp_lnp,48.876547940819066,-3.8765479408190657,52.99363168091334,44.84201337162387
114,2020-09-19,51.0,tpp_lnp,48.77455132510487,2.2254486748951265,52.89163506519915,44.74001675590968
113,2020-09-21,49.0,tpp_lnp,48.653427630560344,0.34657236943965586,52.77051137065462,44.61889306136515
112,2020-10-05,47.0,tpp_lnp,48.684301258211114,-1.6843012582111143,52.80138499830539,44.64976668901592
111,2020-10-10,52.0,tpp_lnp,48.45901129514277,3.5409887048572273,52.576095035237046,44.42447672594758
110,2020-10-12,47.0,tpp_lnp,48.30926647905064,-1.3092664790506419,52.426350219144915,44.27473190985545
109,2020-10-19,48.0,tpp_lnp,48.0747317183881,-0.07473171838810089,52.191815458482374,44.040197149192906
108,2020-11-02,44.0,tpp_lnp,47.99873443804212,-3.9987344380421206,52.115818178136394,43.964199868846926
107,2020-11-07,51.0,tpp_lnp,47.9980429781791,3.0019570218208997,52.11512671827337,43.963508408983905
105,2020-11-16,45.0,tpp_lnp,48.17411659702656,-3.1741165970265612,52.291200337120834,44.139582027831366
106,2020-11-22,51.0,tpp_lnp,48.41715456676358,2.5828454332364217,52.53423830685785,44.38261999756838
104,2020-11-28,51.0,tpp_lnp,48.45118589795101,2.5488141020489934,52.56826963804528,44.41665132875581
103,2020-11-30,49.0,tpp_lnp,48.46336064211759,0.5366393578824074,52.580444382211866,44.4288260729224
102,2020-12-14,45.0,tpp_lnp,48.251005252741194,-3.2510052527411943,52.36808899283547,44.216470683546
101,2021-01-18,48.0,tpp_lnp,48.08415193590628,-0.08415193590627723,52.20123567600055,44.04961736671108
100,2021-01-30,50.0,tpp_lnp,47.8128590551105,2.1871409448894994,51.929942795204774,43.778324485915306
99,2021-02-01,44.0,tpp_lnp,47.764884770621066,-3.764884770621066,51.88196851071534,43.73035020142587
98,2021-02-14,50.0,tpp_lnp,47.758970243170054,2.2410297568299455,51.87605398326433,43.72443567397486
97,2021-02-15,47.0,tpp_lnp,47.75754263988864,-0.7575426398886407,51.874626379982914,43.723008070693446
96,2021-02-20,50.0,tpp_lnp,47.787522347010615,2.212477652989385,51.90460608710489,43.75298777781542
95,2021-03-01,45.0,tpp_lnp,47.834012936319766,-2.834012936319766,51.95109667641404,43.79947836712457
94,2021-03-13,48.0,tpp_lnp,47.81886905885585,0.18113094114414707,51.935952798950126,43.78433448966066
93,2021-03-14,50.0,tpp_lnp,47.72906458131602,2.270935418683983,51.84614832141029,43.69453001212082
92,2021-03-15,47.0,tpp_lnp,47.602181652128735,-0.6021816521287349,51.71926539222301,43.56764708293354
91,2021-03-27,48.0,tpp_lnp,47.352893781940516,0.6471062180594842,51.46997752203479,43.31835921274532
90,2021-03-29,46.0,tpp_lnp,47.16274674058316,-1.1627467405831595,51.27983048067743,43.128212171387965
89,2021-04-12,45.0,tpp_lnp,46.839404120987325,-1.839404120987325,50.9564878610816,42.80486955179213
87,2021-04-24,49.0,tpp_lnp,46.68844130591315,2.311558694086848,50.805525046007425,42.65390673671796
86,2021-04-26,46.0,tpp_lnp,46.5916783790779,-0.5916783790778979,50.70876211917217,42.5571438098827
85,2021-05-10,44.0,tpp_lnp,46.55631908035071,-2.556319080350711,50.673402820444984,42.521784511155516
84,2021-05-15,49.0,tpp_lnp,46.73237875583321,2.26762124416679,50.84946249592748,42.697844186638015
82,2021-05-24,44.0,tpp_lnp,46.865151551266045,-2.8651515512660453,50.98223529136032,42.83061698207085
81,2021-06-05,50.0,tpp_lnp,47.071424083864336,2.9285759161356637,51.18850782395861,43.03688951466914
80,2021-06-06,49.0,tpp_lnp,47.20186382831475,1.7981361716852504,51.31894756840902,43.167329259119555
79,2021-06-07,44.0,tpp_lnp,47.238574893104364,-3.2385748931043636,51.35565863319864,43.20404032390917
76,2021-06-20,50.0,tpp_lnp,47.179388091978254,2.820611908021746,51.29647183207253,43.14485352278306
77,2021-06-21,45.0,tpp_lnp,47.04573862739272,-2.0457386273927227,51.162822367486996,43.01120405819753
75,2021-06-26,49.0,tpp_lnp,46.857700362149146,2.1422996378508543,50.97478410224342,42.82316579295395
74,2021-07-05,44.0,tpp_lnp,46.76071793007145,-2.7607179300714506,50.877801670165724,42.726183360876256
73,2021-07-17,47.0,tpp_lnp,46.638771655182396,0.36122834481760435,50.75585539527667,42.6042370859872
71,2021-07-18,48.0,tpp_lnp,46.54723343733505,1.452766562664948,50.664317177429325,42.51269886813986
70,2021-07-19,45.0,tpp_lnp,46.54353450575521,-1.5435345057552112,50.660618245849484,42.508999936560016
69,2021-08-01,47.0,tpp_lnp,46.49342600915363,0.5065739908463698,50.6105097492479,42.458891439958435
68,2021-08-07,47.0,tpp_lnp,46.49856085437558,0.5014391456244169,50.615644594469856,42.46402628518039
67,2021-08-15,46.0,tpp_lnp,46.45827591457536,-0.4582759145753599,50.57535965466963,42.423741345380165
65,2021-08-28,46.0,tpp_lnp,46.51888324987164,-0.5188832498716422,50.635966989965915,42.48434868067645
64,2021-08-29,46.0,tpp_lnp,46.53858980406316,-0.5385898040631574,50.65567354415743,42.50405523486796
63,2021-09-12,48.0,tpp_lnp,46.55627313728916,1.4437268627108395,50.67335687738343,42.521738568093966
62,2021-09-18,47.0,tpp_lnp,46.53783948354663,0.4621605164533733,50.6549232236409,42.50330491435143
60,2021-09-26,46.0,tpp_lnp,46.452334555401144,-0.4523345554011442,50.56941829549542,42.41779998620595
59,2021-10-02,47.0,tpp_lnp,46.33829324037624,0.6617067596237618,50.45537698047051,42.30375867118104
54,2021-10-07,44.0,tpp_lnp,46.23192285021491,-2.2319228502149073,50.34900659030918,42.19738828101971
58,2021-10-10,47.0,tpp_lnp,46.15560755522979,0.8443924447702074,50.272691295324066,42.1210729860346
57,2021-10-23,46.0,tpp_lnp,46.155935820243116,-0.15593582024311559,50.27301956033739,42.12140125104792
56,2021-10-24,46.0,tpp_lnp,46.18006373334323,-0.180063733343232,50.297147473437505,42.14552916414804
55,2021-11-07,47.0,tpp_lnp,46.15314321814209,0.8468567818579089,50.270226958236364,42.118608648946896
53,2021-11-13,47.0,tpp_lnp,46.09995971112166,0.900040288878337,50.217043451215936,42.06542514192647
50,2021-11-21,45.0,tpp_lnp,45.944791800260376,-0.9447918002603757,50.06187554035465,41.91025723106518
52,2021-11-21,45.0,tpp_lnp,45.76949186793718,-0.7694918679371767,49.88657560803145,41.73495729874198
49,2021-12-04,47.0,tpp_lnp,45.52878219472721,1.4712178052727864,49.64586593482149,41.49424762553202
48,2021-12-05,44.0,tpp_lnp,45.29106450677717,-1.2910645067771682,49.40814824687144,41.25652993758197
47,2021-12-05,45.0,tpp_lnp,45.07179335769897,-0.07179335769897222,49.188877097793245,41.03725878850378
45,2021-12-13,45.0,tpp_lnp,44.83278859220182,0.16721140779817745,48.949872332296096,40.79825402300663
46,2021-12-19,45.0,tpp_lnp,44.604361346293935,0.3956386537060652,48.72144508638821,40.56982677709874
43,2022-01-16,44.0,tpp_lnp,44.41726718736821,-0.41726718736821056,48.534350927462484,40.382732618173016
42,2022-01-23,43.0,tpp_lnp,44.3031702080254,-1.3031702080253993,48.42025394811967,40.268635638830204
41,2022-01-30,44.0,tpp_lnp,44.26791460082936,-0.26791460082935714,48.38499834092363,40.23338003163416
40,2022-01-30,44.0,tpp_lnp,44.30444310847439,-0.3044431084743877,48.42152684856866,40.26990853927919
39,2022-02-06,46.0,tpp_lnp,44.37458011479163,1.6254198852083732,48.4916638548859,40.34004554559643
38,2022-02-12,45.0,tpp_lnp,44.430638450574314,0.5693615494256861,48.54772219066859,40.39610388137912
37,2022-02-13,43.0,tpp_lnp,44.45175972291793,-1.4517597229179273,48.5688434630122,40.41722515372273
36,2022-02-20,45.0,tpp_lnp,44.44146684625115,0.5585331537488472,48.558550586345426,40.40693227705596
34,2022-02-23,44.0,tpp_lnp,44.404929095748216,-0.4049290957482157,48.52201283584249,40.37039452655302
33,2022-02-26,45.0,tpp_lnp,44.342359272044085,0.6576407279559149,48.45944301213836,40.30782470284889
32,2022-03-03,44.0,tpp_lnp,44.30736942693642,-0.3073694269364182,48.42445316703069,40.27283485774122
31,2022-03-06,44.0,tpp_lnp,44.222680964503795,-0.2226809645037946,48.33976470459807,40.1881463953086
30,2022-03-12,45.0,tpp_lnp,44.073413403995396,0.9265865960046042,48.19049714408967,40.0388788348002
29,2022-03-13,44.0,tpp_lnp,43.97519374267042,0.02480625732957975,48.09227748276469,39.940659173475225
28,2022-03-20,42.0,tpp_lnp,43.87578003143725,-1.8757800314372517,47.992863771531525,39.84124546224206
27,2022-03-20,44.0,tpp_lnp,43.82192581729206,0.17807418270793818,47.939009557386335,39.78739124809687
26,2022-03-27,45.0,tpp_lnp,43.89295544022737,1.107044559772632,48.01003918032164,39.85842087103217
25,2022-04-02,42.0,tpp_lnp,44.00715175669827,-2.0071517566982706,48.124235496792544,39.972617187503076
24,2022-04-02,45.0,tpp_lnp,44.241322581145766,0.7586774188542336,48.35840632124004,40.20678801195057
23,2022-04-03,46.0,tpp_lnp,44.45288472990779,1.5471152700922133,48.56996847000206,40.41835016071259
22,2022-04-03,43.0,tpp_lnp,44.67750428446496,-1.677504284464959,48.79458802455923,40.642969715269764
20,2022-04-09,47.0,tpp_lnp,44.899666080803456,2.1003339191965438,49.01674982089773,40.86513151160826
19,2022-04-10,43.0,tpp_lnp,45.108854450985355,-2.108854450985355,49.22593819107963,41.07431988179016
17,2022-04-17,47.0,tpp_lnp,45.25447888595322,1.745521114046781,49.37156262604749,41.219944316758024
16,2022-04-17,45.0,tpp_lnp,45.43886417137349,-0.43886417137348843,49.55594791146776,41.404329602178294
15,2022-04-20,46.0,tpp_lnp,45.601841861003734,0.3981581389962656,49.71892560109801,41.56730729180854
14,2022-04-23,45.0,tpp_lnp,45.71107726124222,-0.7110772612422167,49.82816100133649,41.67654269204702
13,2022-04-23,47.0,tpp_lnp,45.8371498162848,1.1628501837152,49.95423355637907,41.802615247089605
12,2022-04-24,45.5,tpp_lnp,45.833983786783236,-0.3339837867832358,49.95106752687751,41.79944921758804
11,2022-04-30,46.0,tpp_lnp,45.821495298914876,0.1785047010851244,49.93857903900915,41.78696072971968
