,end_date,value,variable,smooth,noise,ci_top,ci_bot
89,2019-07-28,33.0,p_alp,33.734938733829324,-0.7349387338293241,36.48936779443486,30.472131850519162
88,2019-08-18,34.0,p_alp,33.74407729622853,0.25592270377146775,36.49850635683407,30.48127041291837
87,2019-09-07,35.0,p_alp,33.75361429721884,1.2463857027811613,36.50804335782438,30.490807413908676
86,2019-09-29,33.0,p_alp,33.782428518997094,-0.7824285189970936,36.53685757960263,30.51962163568693
85,2019-10-20,33.0,p_alp,33.79307019849538,-0.7930701984953785,36.54749925910092,30.530263315185216
84,2019-11-10,35.0,p_alp,33.8261525779139,1.173847422086098,36.58058163851944,30.56334569460374
83,2019-11-23,33.0,p_alp,33.90847128130825,-0.9084712813082518,36.66290034191379,30.64566439799809
82,2019-12-08,33.0,p_alp,34.052449020197045,-1.0524490201970451,36.80687808080258,30.789642136886883
81,2020-01-11,36.0,p_alp,34.18399783704044,1.8160021629595633,36.938426897645975,30.921190953730274
80,2020-02-01,35.0,p_alp,34.32663818687015,0.6733618131298513,37.08106724747569,31.063831303559986
79,2020-02-03,33.4,p_alp,34.4369841260223,-1.036984126022304,37.19141318662784,31.17417724271214
78,2020-02-22,34.0,p_alp,34.556259094279426,-0.5562590942794259,37.310688154884964,31.293452210969264
77,2020-03-14,36.0,p_alp,34.58858729966656,1.4114127003334431,37.343016360272095,31.325780416356395
76,2020-04-03,34.0,p_alp,34.58477186508629,-0.5847718650862888,37.33920092569183,31.321964981776127
75,2020-04-25,36.0,p_alp,34.57144332932465,1.4285566706753485,37.32587238993019,31.30863644601449
74,2020-04-26,33.0,p_alp,34.45611837419084,-1.4561183741908366,37.210547434796375,31.193311490880674
73,2020-05-16,35.0,p_alp,34.30609816557868,0.6939018344213181,37.06052722618422,31.04329128226852
72,2020-06-06,34.0,p_alp,34.15272485885858,-0.15272485885858345,36.90715391946412,30.88991797554842
71,2020-06-08,33.0,p_alp,33.99984793192271,-0.9998479319227087,36.75427699252825,30.737041048612546
70,2020-06-15,35.0,p_alp,33.84649530202015,1.153504697979848,36.60092436262569,30.58368841870999
68,2020-06-22,33.0,p_alp,33.773571786784544,-0.7735717867845437,36.52800084739008,30.51076490347438
66,2020-06-29,33.0,p_alp,33.722278752760914,-0.7222787527609142,36.47670781336645,30.459471869450752
65,2020-07-13,34.0,p_alp,33.77054792943745,0.22945207056255157,36.52497699004299,30.507741046127286
64,2020-07-18,34.0,p_alp,33.84272954631448,0.15727045368551984,36.59715860692002,30.579922663004318
63,2020-07-19,33.5,p_alp,33.97507219017875,-0.47507219017875,36.72950125078429,30.712265306868588
69,2020-07-21,34.5,p_alp,34.092335415329664,0.40766458467033573,36.8467644759352,30.829528532019502
62,2020-07-26,35.0,p_alp,34.15027323218464,0.8497267678153619,36.904702292790176,30.887466348874476
67,2020-07-27,35.0,p_alp,34.15764832026313,0.842351679736872,36.912077380868666,30.894841436952966
61,2020-08-08,33.0,p_alp,34.09240405462025,-1.0924040546202534,36.84683311522579,30.82959717131009
60,2020-08-10,34.0,p_alp,34.049611164841366,-0.04961116484136596,36.804040225446904,30.786804281531204
59,2020-08-16,32.5,p_alp,33.96543968745063,-1.4654396874506332,36.71986874805617,30.70263280414047
58,2020-08-24,35.0,p_alp,33.91000936191113,1.0899906380888709,36.66443842251667,30.647202478600967
57,2020-08-29,36.0,p_alp,33.806837461919805,2.1931625380801947,36.561266522525344,30.544030578609643
56,2020-09-07,32.0,p_alp,33.66173103778928,-1.6617310377892807,36.41616009839482,30.39892415447912
55,2020-09-19,34.0,p_alp,33.52244324523907,0.47755675476093273,36.276872305844606,30.259636361928905
54,2020-09-21,31.0,p_alp,33.433196974243344,-2.4331969742433444,36.18762603484888,30.170390090933182
53,2020-10-05,34.0,p_alp,33.427288912200595,0.572711087799405,36.18171797280613,30.164482028890433
52,2020-10-10,34.0,p_alp,33.58649204415618,0.4135079558438193,36.34092110476172,30.32368516084602
51,2020-10-12,33.0,p_alp,33.83468857768475,-0.8346885776847515,36.58911763829029,30.57188169437459
50,2020-10-19,35.0,p_alp,34.124399098867485,0.8756009011325148,36.878828159473024,30.861592215557323
49,2020-11-02,35.0,p_alp,34.38790282166668,0.6120971783333218,37.14233188227222,31.125095938356516
48,2020-11-07,35.0,p_alp,34.568859700745826,0.4311402992541744,37.323288761351364,31.306052817435663
46,2020-11-16,35.0,p_alp,34.663715803491144,0.3362841965088563,37.41814486409668,31.40090892018098
47,2020-11-22,34.0,p_alp,34.67389468753324,-0.6738946875332417,37.42832374813878,31.41108780422308
45,2020-11-28,36.0,p_alp,34.603444071699286,1.3965559283007138,37.357873132304825,31.340637188389124
44,2020-11-30,33.0,p_alp,34.54740477364288,-1.5474047736428815,37.30183383424842,31.28459789033272
43,2020-12-14,35.0,p_alp,34.52151475734402,0.478485242655978,37.27594381794956,31.25870787403386
42,2021-01-18,33.0,p_alp,34.57444048359417,-1.5744404835941666,37.328869544199705,31.311633600284004
41,2021-01-30,36.0,p_alp,34.65563183339532,1.3443681666046814,37.41006089400086,31.392824950085156
40,2021-02-01,35.0,p_alp,34.8535343727285,0.14646562727150325,37.607963433334035,31.590727489418335
39,2021-02-14,34.5,p_alp,35.05775584874744,-0.5577558487474406,37.81218490935298,31.79494896543728
38,2021-02-15,35.0,p_alp,35.26131146044647,-0.26131146044647124,38.01574052105201,31.99850457713631
37,2021-02-20,37.0,p_alp,35.51131617176786,1.4886838282321406,38.2657452323734,32.2485092884577
36,2021-03-01,34.0,p_alp,35.65183224224048,-1.6518322422404808,38.40626130284602,32.38902535893032
35,2021-03-13,39.0,p_alp,35.794980979127914,3.2050190208720863,38.54941003973345,32.53217409581775
34,2021-03-14,34.5,p_alp,35.83804928933325,-1.3380492893332487,38.59247834993879,32.57524240602309
33,2021-03-15,34.0,p_alp,35.88991394414815,-1.889913944148148,38.644343004753686,32.627107060837986
32,2021-03-27,38.0,p_alp,35.83871515365318,2.161284846346817,38.59314421425872,32.57590827034302
31,2021-03-29,36.0,p_alp,35.79536908899917,0.20463091100082664,38.54979814960471,32.53256220568901
30,2021-04-12,36.0,p_alp,35.707085109304174,0.2929148906958261,38.46151416990971,32.44427822599401
29,2021-04-16,33.0,p_alp,35.66295985402938,-2.6629598540293813,38.41738891463492,32.40015297071922
28,2021-04-24,38.0,p_alp,35.563938441902486,2.4360615580975136,38.318367502508025,32.301131558592324
27,2021-04-26,34.0,p_alp,35.52166220399236,-1.5216622039923635,38.2760912645979,32.2588553206822
26,2021-05-10,36.0,p_alp,35.51311793074125,0.48688206925874766,38.26754699134679,32.25031104743109
25,2021-05-15,36.0,p_alp,35.481481402534044,0.5185185974659561,38.23591046313958,32.21867451922388
24,2021-05-16,35.0,p_alp,35.48135179148657,-0.48135179148656704,38.235780852092105,32.218544908176405
23,2021-05-24,35.0,p_alp,35.44083945501822,-0.44083945501822086,38.19526851562376,32.17803257170806
22,2021-06-05,36.0,p_alp,35.46440742325042,0.535592576749579,38.21883648385596,32.20160053994026
21,2021-06-06,35.5,p_alp,35.438208683422694,0.06179131657730608,38.19263774402823,32.17540180011253
20,2021-06-07,35.0,p_alp,35.471495359646205,-0.47149535964620526,38.225924420251744,32.20868847633604
19,2021-06-13,36.0,p_alp,35.57194983089867,0.42805016910133276,38.326378891504206,32.309142947588505
17,2021-06-20,34.5,p_alp,35.69028124139357,-1.1902812413935706,38.44471030199911,32.42747435808341
18,2021-06-21,36.0,p_alp,35.914114671157016,0.08588532884298417,38.668543731762554,32.651307787846854
16,2021-06-26,37.0,p_alp,36.151927049446535,0.8480729505534654,38.90635611005207,32.88912016613637
15,2021-07-05,36.0,p_alp,36.36998309565023,-0.3699830956502268,39.124412156255765,33.107176212340065
14,2021-07-17,39.0,p_alp,36.55468851545891,2.4453114845410866,39.30911757606445,33.29188163214875
13,2021-07-17,35.0,p_alp,36.68237183643047,-1.6823718364304696,39.43680089703601,33.41956495312031
12,2021-07-18,37.0,p_alp,36.71666845130784,0.2833315486921606,39.47109751191338,33.45386156799768
11,2021-07-19,36.0,p_alp,36.83030718236423,-0.8303071823642298,39.58473624296977,33.56750029905407
10,2021-08-01,37.0,p_alp,36.86249623533162,0.13750376466838077,39.61692529593716,33.59968935202146
9,2021-08-07,39.0,p_alp,36.8603459044934,2.1396540955066,39.61477496509894,33.59753902118324
8,2021-08-15,37.5,p_alp,36.93512242927442,0.564877570725578,39.68955148987996,33.67231554596426
7,2021-08-21,32.0,p_alp,36.927661555471914,-4.927661555471914,39.68209061607745,33.66485467216175
6,2021-08-28,40.0,p_alp,36.960564897629254,3.0394351023707458,39.71499395823479,33.69775801431909
5,2021-08-29,38.5,p_alp,36.93764206387141,1.562357936128592,39.692071124476946,33.674835180561246
4,2021-09-12,35.0,p_alp,36.92743254794628,-1.9274325479462817,39.68186160855182,33.66462566463612
3,2021-09-18,38.0,p_alp,36.89609475934362,1.1039052406563812,39.65052381994916,33.63328787603346
2,2021-09-26,36.0,p_alp,36.80542186193724,-0.8054218619372406,39.55985092254278,33.54261497862708
1,2021-10-02,37.0,p_alp,36.66687461157779,0.33312538842221073,39.42130367218333,33.40406772826763
0,2021-10-10,36.0,p_alp,36.637863145727,-0.6378631457270032,39.39229220633254,33.37505626241684
