,end_date,value,variable,smooth,noise,ci_top,ci_bot
89,2019-07-28,44.0,p_lnp,42.800065900774435,1.1999340992255654,46.865263491905154,38.53098997930463
88,2019-08-18,42.0,p_lnp,42.60578815833545,-0.6057881583354501,46.67098574946617,38.336712236865644
87,2019-09-07,43.0,p_lnp,42.375159554933305,0.6248404450666953,46.44035714606402,38.1060836334635
86,2019-09-29,42.0,p_lnp,42.08687969966225,-0.08687969966224784,46.15207729079296,37.81780377819244
85,2019-10-20,42.0,p_lnp,41.762409732395746,0.23759026760425428,45.827607323526465,37.49333381092594
84,2019-11-10,40.0,p_lnp,41.36391084418046,-1.3639108441804595,45.42910843531118,37.09483492271065
83,2019-11-23,41.0,p_lnp,40.92632466177409,0.07367533822591099,44.9915222529048,36.65724874030428
82,2019-12-08,42.0,p_lnp,40.35558381688113,1.6444161831188708,44.42078140801185,36.08650789541132
81,2020-01-11,40.0,p_lnp,39.78058592271696,0.21941407728304085,43.84578351384768,35.51151000124715
80,2020-02-01,38.0,p_lnp,39.26776414250699,-1.2677641425069908,43.3329617336377,34.998688221037185
79,2020-02-03,34.8,p_lnp,39.02032686118365,-4.220326861183651,43.08552445231436,34.75125093971384
78,2020-02-22,38.0,p_lnp,39.07607134825039,-1.0760713482503874,43.141268939381106,34.80699542678058
77,2020-03-14,40.0,p_lnp,39.49603743220211,0.5039625677978918,43.56123502333283,35.2269615107323
76,2020-04-03,42.0,p_lnp,40.150691567839736,1.8493084321602637,44.215889158970455,35.88161564636993
75,2020-04-25,41.0,p_lnp,40.81583638873572,0.1841636112642817,44.88103397986643,36.54676046726591
74,2020-04-26,43.5,p_lnp,41.294630117502685,2.2053698824973154,45.359827708633404,37.02555419603288
73,2020-05-16,43.0,p_lnp,41.4054207877794,1.5945792122206015,45.47061837891012,37.13634486630959
72,2020-06-06,42.0,p_lnp,41.16969775988056,0.8303022401194369,45.234895351011275,36.90062183841076
71,2020-06-08,40.0,p_lnp,40.74495152200278,-0.7449515220027791,44.81014911313349,36.47587560053297
70,2020-06-15,38.0,p_lnp,40.244020510730685,-2.244020510730685,44.309218101861404,35.97494458926088
68,2020-06-22,39.0,p_lnp,39.900785085649325,-0.9007850856493249,43.965982676780044,35.63170916417952
66,2020-06-29,39.0,p_lnp,39.856075524529174,-0.8560755245291745,43.921273115659886,35.58699960305937
65,2020-07-13,37.0,p_lnp,40.12935393934389,-3.1293539393438934,44.19455153047461,35.86027801787409
64,2020-07-18,44.0,p_lnp,40.54868176478855,3.4513182352114526,44.613879355919266,36.27960584331874
63,2020-07-19,43.5,p_lnp,40.90783567811665,2.5921643218833523,44.97303326924737,36.63875975664684
69,2020-07-21,42.5,p_lnp,41.24982653158558,1.2501734684144168,45.315024122716295,36.98075061011578
62,2020-07-26,38.0,p_lnp,41.36483492100423,-3.364834921004231,45.43003251213494,37.095758999534425
67,2020-07-27,42.0,p_lnp,41.39734091958318,0.6026590804168208,45.4625385107139,37.12826499811337
61,2020-08-08,43.0,p_lnp,41.31656656412601,1.6834334358739866,45.38176415525673,37.04749064265621
60,2020-08-10,38.0,p_lnp,41.31321871816904,-3.31321871816904,45.37841630929975,37.044142796699234
59,2020-08-16,46.0,p_lnp,41.2010507656741,4.798949234325903,45.26624835680481,36.93197484420429
58,2020-08-24,39.0,p_lnp,41.0602300369605,-2.0602300369604976,45.12542762809122,36.79115411549069
57,2020-08-29,41.0,p_lnp,40.94336683173408,0.05663316826591824,45.008564422864794,36.674290910264276
56,2020-09-07,38.0,p_lnp,40.851128775553676,-2.8511287755536756,44.91632636668439,36.58205285408387
55,2020-09-19,43.0,p_lnp,40.796669963833374,2.2033300361666264,44.86186755496409,36.52759404236357
54,2020-09-21,41.0,p_lnp,40.7649985327415,0.23500146725849902,44.83019612387221,36.495922611271695
53,2020-10-05,39.0,p_lnp,40.84579321632842,-1.845793216328417,44.91099080745913,36.57671729485861
52,2020-10-10,44.0,p_lnp,40.71787908803113,3.2821209119688675,44.78307667916185,36.448803166561326
51,2020-10-12,40.0,p_lnp,40.65853094032312,-0.6585309403231179,44.72372853145383,36.38945501885331
50,2020-10-19,39.0,p_lnp,40.53978047785089,-1.53978047785089,44.60497806898161,36.270704556381084
49,2020-11-02,39.0,p_lnp,40.50712732922596,-1.507127329225959,44.57232492035668,36.23805140775615
48,2020-11-07,43.0,p_lnp,40.48709618475518,2.512903815244819,44.5522937758859,36.218020263285375
46,2020-11-16,38.0,p_lnp,40.57399747933649,-2.573997479336491,44.63919507046721,36.304921557866685
47,2020-11-22,42.0,p_lnp,40.68634206804194,1.313657931958062,44.75153965917265,36.41726614657213
45,2020-11-28,43.0,p_lnp,40.60294222301943,2.397057776980567,44.66813981415015,36.33386630154963
44,2020-11-30,41.0,p_lnp,40.48600555699824,0.5139944430017565,44.55120314812896,36.21692963552844
43,2020-12-14,37.0,p_lnp,40.255375121950046,-3.2553751219500455,44.320572713080765,35.98629920048024
