,end_date,variable,value
0,2019-07-28,p_lnp,44
1,2019-08-18,p_lnp,42
2,2019-09-07,p_lnp,43
3,2019-09-29,p_lnp,42
4,2019-10-20,p_lnp,42
5,2019-11-10,p_lnp,40
6,2019-11-23,p_lnp,41
7,2019-12-08,p_lnp,42
8,2020-01-11,p_lnp,40
9,2020-02-01,p_lnp,38
10,2020-02-03,p_lnp,34.8
11,2020-02-22,p_lnp,38
12,2020-03-14,p_lnp,40
13,2020-04-03,p_lnp,42
14,2020-04-25,p_lnp,41
15,2020-04-26,p_lnp,43.5
16,2020-05-16,p_lnp,43
17,2020-06-06,p_lnp,42
18,2020-06-08,p_lnp,40
19,2020-06-15,p_lnp,38
20,2020-06-22,p_lnp,39
21,2020-06-29,p_lnp,39
22,2020-07-13,p_lnp,37
23,2020-07-18,p_lnp,44
24,2020-07-19,p_lnp,43.5
25,2020-07-21,p_lnp,42.5
26,2020-07-26,p_lnp,38
27,2020-07-27,p_lnp,42
28,2020-08-08,p_lnp,43
29,2020-08-10,p_lnp,38
30,2020-08-16,p_lnp,46
31,2020-08-24,p_lnp,39
32,2020-08-29,p_lnp,41
33,2020-09-07,p_lnp,38
34,2020-09-19,p_lnp,43
35,2020-09-21,p_lnp,41
36,2020-10-05,p_lnp,39
37,2020-10-10,p_lnp,44
38,2020-10-12,p_lnp,40
39,2020-10-19,p_lnp,39
40,2020-11-02,p_lnp,39
41,2020-11-07,p_lnp,43
42,2020-11-16,p_lnp,38
43,2020-11-22,p_lnp,42
44,2020-11-28,p_lnp,43
45,2020-11-30,p_lnp,41
46,2020-12-14,p_lnp,37
47,2021-01-18,p_lnp,40
48,2021-01-30,p_lnp,42
49,2021-02-01,p_lnp,37
50,2021-02-14,p_lnp,40
51,2021-02-15,p_lnp,39
52,2021-02-20,p_lnp,42
53,2021-03-01,p_lnp,37
54,2021-03-13,p_lnp,39
55,2021-03-14,p_lnp,41
56,2021-03-15,p_lnp,38
57,2021-03-27,p_lnp,40
58,2021-03-29,p_lnp,39
59,2021-04-12,p_lnp,37
60,2021-04-16,p_lnp,38
61,2021-04-24,p_lnp,41
62,2021-04-26,p_lnp,39
63,2021-05-10,p_lnp,38
64,2021-05-15,p_lnp,41
65,2021-05-16,p_lnp,39
66,2021-05-24,p_lnp,37
67,2021-06-05,p_lnp,41
68,2021-06-06,p_lnp,40
69,2021-06-07,p_lnp,38
70,2021-06-13,p_lnp,40
71,2021-06-20,p_lnp,41.5
72,2021-06-21,p_lnp,38
73,2021-06-26,p_lnp,41
74,2021-07-05,p_lnp,37
75,2021-07-17,p_lnp,39
76,2021-07-17,p_lnp,38
77,2021-07-18,p_lnp,39
78,2021-07-19,p_lnp,37
79,2021-08-01,p_lnp,37
80,2021-08-07,p_lnp,39
81,2021-08-15,p_lnp,37.5
82,2021-08-21,p_lnp,40
83,2021-08-28,p_lnp,36
84,2021-08-29,p_lnp,37.5
85,2021-09-12,p_lnp,39.5
86,2021-09-18,p_lnp,37
87,2021-09-26,p_lnp,36
88,2021-10-02,p_lnp,37
89,2021-10-10,p_lnp,37.5
90,2019-07-28,p_alp,33
91,2019-08-18,p_alp,34
92,2019-09-07,p_alp,35
93,2019-09-29,p_alp,33
94,2019-10-20,p_alp,33
95,2019-11-10,p_alp,35
96,2019-11-23,p_alp,33
97,2019-12-08,p_alp,33
98,2020-01-11,p_alp,36
99,2020-02-01,p_alp,35
100,2020-02-03,p_alp,33.4
101,2020-02-22,p_alp,34
102,2020-03-14,p_alp,36
103,2020-04-03,p_alp,34
104,2020-04-25,p_alp,36
105,2020-04-26,p_alp,33
106,2020-05-16,p_alp,35
107,2020-06-06,p_alp,34
108,2020-06-08,p_alp,33
109,2020-06-15,p_alp,35
110,2020-06-22,p_alp,33
111,2020-06-29,p_alp,33
112,2020-07-13,p_alp,34
113,2020-07-18,p_alp,34
114,2020-07-19,p_alp,33.5
115,2020-07-21,p_alp,34.5
116,2020-07-26,p_alp,35
117,2020-07-27,p_alp,35
118,2020-08-08,p_alp,33
119,2020-08-10,p_alp,34
120,2020-08-16,p_alp,32.5
121,2020-08-24,p_alp,35
122,2020-08-29,p_alp,36
123,2020-09-07,p_alp,32
124,2020-09-19,p_alp,34
125,2020-09-21,p_alp,31
126,2020-10-05,p_alp,34
127,2020-10-10,p_alp,34
128,2020-10-12,p_alp,33
129,2020-10-19,p_alp,35
130,2020-11-02,p_alp,35
131,2020-11-07,p_alp,35
132,2020-11-16,p_alp,35
133,2020-11-22,p_alp,34
134,2020-11-28,p_alp,36
135,2020-11-30,p_alp,33
136,2020-12-14,p_alp,35
137,2021-01-18,p_alp,33
138,2021-01-30,p_alp,36
139,2021-02-01,p_alp,35
140,2021-02-14,p_alp,34.5
141,2021-02-15,p_alp,35
142,2021-02-20,p_alp,37
143,2021-03-01,p_alp,34
144,2021-03-13,p_alp,39
145,2021-03-14,p_alp,34.5
146,2021-03-15,p_alp,34
147,2021-03-27,p_alp,38
148,2021-03-29,p_alp,36
149,2021-04-12,p_alp,36
150,2021-04-16,p_alp,33
151,2021-04-24,p_alp,38
152,2021-04-26,p_alp,34
153,2021-05-10,p_alp,36
154,2021-05-15,p_alp,36
155,2021-05-16,p_alp,35
156,2021-05-24,p_alp,35
157,2021-06-05,p_alp,36
158,2021-06-06,p_alp,35.5
159,2021-06-07,p_alp,35
160,2021-06-13,p_alp,36
161,2021-06-20,p_alp,34.5
162,2021-06-21,p_alp,36
163,2021-06-26,p_alp,37
164,2021-07-05,p_alp,36
165,2021-07-17,p_alp,39
166,2021-07-17,p_alp,35
167,2021-07-18,p_alp,37
168,2021-07-19,p_alp,36
169,2021-08-01,p_alp,37
170,2021-08-07,p_alp,39
171,2021-08-15,p_alp,37.5
172,2021-08-21,p_alp,32
173,2021-08-28,p_alp,40
174,2021-08-29,p_alp,38.5
175,2021-09-12,p_alp,35
176,2021-09-18,p_alp,38
177,2021-09-26,p_alp,36
178,2021-10-02,p_alp,37
179,2021-10-10,p_alp,36
180,2019-07-28,p_grn,11
181,2019-08-18,p_grn,11
182,2019-09-07,p_grn,12
183,2019-09-29,p_grn,13
184,2019-10-20,p_grn,13
185,2019-11-10,p_grn,12
186,2019-11-23,p_grn,12
187,2019-12-08,p_grn,11
188,2020-01-11,p_grn,12
189,2020-02-01,p_grn,13
190,2020-02-03,p_grn,14.7
191,2020-02-22,p_grn,13
192,2020-03-14,p_grn,12
193,2020-04-03,p_grn,13
194,2020-04-25,p_grn,12
195,2020-04-26,p_grn,11.5
196,2020-05-16,p_grn,10
197,2020-06-06,p_grn,12
198,2020-06-08,p_grn,9
199,2020-06-15,p_grn,9
200,2020-06-22,p_grn,10
201,2020-06-29,p_grn,9
202,2020-07-13,p_grn,10
203,2020-07-18,p_grn,10
204,2020-07-19,p_grn,11
205,2020-07-21,p_grn,10.5
206,2020-07-26,p_grn,9
207,2020-07-27,p_grn,11
208,2020-08-08,p_grn,11
209,2020-08-10,p_grn,9
210,2020-08-16,p_grn,11
211,2020-08-24,p_grn,9
212,2020-08-29,p_grn,11
213,2020-09-07,p_grn,10
214,2020-09-19,p_grn,12
215,2020-09-21,p_grn,10
216,2020-10-05,p_grn,9
217,2020-10-10,p_grn,11
218,2020-10-12,p_grn,9
219,2020-10-19,p_grn,9
220,2020-11-02,p_grn,9
221,2020-11-07,p_grn,11
222,2020-11-16,p_grn,9
223,2020-11-22,p_grn,12
224,2020-11-28,p_grn,11
225,2020-11-30,p_grn,8
226,2020-12-14,p_grn,8
227,2021-01-18,p_grn,10
228,2021-01-30,p_grn,10
229,2021-02-01,p_grn,10
230,2021-02-14,p_grn,13
231,2021-02-15,p_grn,8
232,2021-02-20,p_grn,10
233,2021-03-01,p_grn,9
234,2021-03-13,p_grn,10
235,2021-03-14,p_grn,12.5
236,2021-03-15,p_grn,9
237,2021-03-27,p_grn,11
238,2021-03-29,p_grn,8
239,2021-04-12,p_grn,10
240,2021-04-16,p_grn,12
241,2021-04-24,p_grn,10
242,2021-04-26,p_grn,10
243,2021-05-10,p_grn,9
244,2021-05-15,p_grn,12
245,2021-05-16,p_grn,12
246,2021-05-24,p_grn,10
247,2021-06-05,p_grn,11
248,2021-06-06,p_grn,11.5
249,2021-06-07,p_grn,10
250,2021-06-13,p_grn,10
251,2021-06-20,p_grn,12
252,2021-06-21,p_grn,10
253,2021-06-26,p_grn,11
254,2021-07-05,p_grn,8
255,2021-07-17,p_grn,10
256,2021-07-17,p_grn,12
257,2021-07-18,p_grn,11.5
258,2021-07-19,p_grn,10
259,2021-08-01,p_grn,12.5
260,2021-08-07,p_grn,11
261,2021-08-15,p_grn,12.5
262,2021-08-21,p_grn,12
263,2021-08-28,p_grn,10
264,2021-08-29,p_grn,11.5
265,2021-09-12,p_grn,13
266,2021-09-18,p_grn,10
267,2021-09-26,p_grn,12.5
268,2021-10-02,p_grn,11
269,2021-10-10,p_grn,11.5
270,2019-07-28,p_onp,3
271,2019-08-18,p_onp,4
272,2019-09-07,p_onp,5
273,2019-09-29,p_onp,6
274,2019-10-20,p_onp,6
275,2019-11-10,p_onp,7
276,2019-11-23,p_onp,5
277,2019-12-08,p_onp,5
278,2020-01-11,p_onp,4
279,2020-02-01,p_onp,4
280,2020-02-03,p_onp,- 
281,2020-02-22,p_onp,4
282,2020-03-14,p_onp,4
283,2020-04-03,p_onp,5
284,2020-04-25,p_onp,4
285,2020-04-26,p_onp,3
286,2020-05-16,p_onp,3
287,2020-06-06,p_onp,4
288,2020-06-08,p_onp,4
289,2020-06-15,p_onp,5
